,index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19,Thailand,45420.0,88140.0,75300.0,76500.0,83940.0,79020.0,84240.0,77580.0,54960.0,76380.0,101520.0,42840.0,43920.0,49620.0,53040.0,63840.0,49320.0,39000.0,40500.0,47700.0,49680.0,49860.0,36480.0,38280.0,50700.0,45720.0,32280.0,38280.0,28920.0,31020.0
20,Tanzania,55920.0,47400.0,47160.0,44040.0,40740.0,53820.0,45840.0,37440.0,44340.0,50520.0,48540.0,37440.0,49440.0,36720.0,45780.0,48240.0,49320.0,48600.0,71160.0,40500.0,50760.0,38460.0,69060.0,48660.0,45180.0,55800.0,50760.0,46980.0,70500.0,55560.0
21,Cameroon,100920.0,103560.0,15600.0,40980.0,24360.0,39600.0,85920.0,53340.0,66840.0,82200.0,66780.0,41160.0,48060.0,54000.0,43620.0,52200.0,49080.0,47700.0,43500.0,54120.0,31620.0,40140.0,22260.0,24240.0,28980.0,23460.0,17520.0,22200.0,18600.0,16080.0
22,Democratic Republic of Congo,94800.0,73800.0,70800.0,58800.0,77880.0,65880.0,47700.0,48660.0,44280.0,28620.0,21780.0,25380.0,20280.0,27060.0,21600.0,20160.0,22680.0,24960.0,25320.0,20760.0,18300.0,21420.0,20040.0,20820.0,20100.0,22260.0,16740.0,22920.0,23820.0,23460.0
23,Madagascar,58920.0,55980.0,67320.0,26520.0,38460.0,47100.0,50940.0,37440.0,59520.0,25620.0,21720.0,8820.0,26700.0,26100.0,31320.0,35940.0,35220.0,36840.0,43680.0,27420.0,31800.0,35100.0,30000.0,35040.0,30060.0,24840.0,27180.0,24240.0,22740.0,22980.0
24,Dominican Republic,52800.0,19260.0,38280.0,36240.0,43800.0,53160.0,31140.0,56460.0,29220.0,36420.0,28020.0,23220.0,27300.0,21060.0,29460.0,18600.0,23220.0,27900.0,38700.0,21120.0,22680.0,29460.0,29280.0,25500.0,23820.0,24000.0,24720.0,24720.0,25860.0,24120.0
25,Philippines,58440.0,61080.0,55200.0,52500.0,52620.0,51000.0,53400.0,56100.0,40620.0,37320.0,20460.0,15780.0,15300.0,17580.0,21300.0,25920.0,26460.0,26760.0,35220.0,43800.0,11340.0,10800.0,10620.0,11160.0,11580.0,12480.0,12900.0,12180.0,12360.0,18420.0
26,Haiti,23580.0,27780.0,30000.0,27060.0,27000.0,30840.0,25680.0,25920.0,26340.0,23940.0,25200.0,24180.0,22440.0,22440.0,21900.0,21360.0,21720.0,21540.0,21540.0,21060.0,21000.0,20940.0,21000.0,20700.0,20580.0,20460.0,20520.0,20520.0,20820.0,20820.0
27,Burundi,29220.0,40020.0,37200.0,23580.0,39840.0,26040.0,24060.0,15000.0,29520.0,21060.0,29220.0,8640.0,27240.0,20280.0,26220.0,6180.0,29880.0,7980.0,24720.0,6720.0,21180.0,12240.0,24360.0,9780.0,14880.0,16140.0,11760.0,12120.0,12240.0,16320.0
28,Lao People's Democratic Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10260.0,14340.0,12720.0,15480.0,24120.0,21660.0,22740.0,16800.0,23460.0,23580.0,24360.0,26040.0,32640.0,30840.0,32460.0,32640.0,33120.0,32100.0,30600.0,31980.0,38820.0,37320.0
29,Rwanda,32100.0,29040.0,38340.0,26640.0,1320.0,19740.0,17580.0,11580.0,13380.0,18420.0,16380.0,17760.0,19200.0,15960.0,27000.0,20220.0,21060.0,13440.0,22140.0,15540.0,19380.0,15060.0,15540.0,15480.0,14280.0,17580.0,13860.0,15840.0,22800.0,20880.0
30,Guinea,2640.0,5460.0,4560.0,3840.0,11880.0,6240.0,8880.0,10320.0,25260.0,21840.0,24000.0,14160.0,19680.0,21960.0,18960.0,31500.0,28380.0,19380.0,30300.0,29940.0,23160.0,23160.0,14040.0,6060.0,9900.0,17160.0,16200.0,13740.0,9180.0,10680.0
31,Cuba,24840.0,18120.0,17040.0,17100.0,17040.0,17100.0,21960.0,18000.0,16800.0,19680.0,18720.0,17100.0,14340.0,13440.0,10800.0,6000.0,6300.0,6600.0,7980.0,5520.0,6480.0,6000.0,5280.0,6420.0,6060.0,6000.0,6180.0,6780.0,7680.0,7800.0
32,Togo,9660.0,25980.0,5160.0,11700.0,10560.0,5040.0,17460.0,13260.0,19260.0,15780.0,11820.0,6720.0,4080.0,8640.0,9960.0,8400.0,8040.0,7500.0,8280.0,12120.0,9600.0,9600.0,5040.0,10320.0,8580.0,4860.0,1380.0,6900.0,3240.0,2460.0
33,Panama,12900.0,11580.0,11820.0,8520.0,14880.0,12540.0,12660.0,13020.0,11520.0,9960.0,10200.0,9600.0,8400.0,10320.0,5400.0,10560.0,10380.0,10560.0,8940.0,8280.0,6840.0,6360.0,6960.0,6780.0,6360.0,7620.0,7200.0,6300.0,7680.0,6840.0
34,Bolivia (Plurinational State of),7380.0,6240.0,7200.0,3060.0,7020.0,8520.0,7500.0,8460.0,8280.0,9480.0,8880.0,5640.0,7620.0,6180.0,9300.0,6600.0,8760.0,6960.0,7200.0,7680.0,7020.0,7920.0,6300.0,7200.0,6000.0,5040.0,4680.0,5040.0,4980.0,4860.0
35,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,3660.0,3840.0,3720.0,3420.0,11580.0,12360.0,12180.0,12420.0,11880.0,13200.0,8100.0,9660.0,11100.0,11280.0,11220.0,10680.0,9360.0,8580.0,7920.0,5160.0,5460.0
36,Central African Republic,10500.0,7500.0,8040.0,9960.0,15000.0,6480.0,12480.0,6840.0,12900.0,14460.0,6780.0,4080.0,5520.0,2580.0,1740.0,1380.0,6840.0,2580.0,3600.0,6720.0,4680.0,5460.0,1380.0,5400.0,3780.0,6000.0,2220.0,3600.0,2220.0,3300.0
37,Zimbabwe,15120.0,12060.0,4680.0,720.0,6360.0,7860.0,10440.0,7800.0,8940.0,7500.0,6540.0,7260.0,6600.0,5520.0,7200.0,3960.0,2700.0,1860.0,1440.0,1260.0,600.0,540.0,420.0,540.0,900.0,840.0,900.0,420.0,600.0,540.0
38,Sierra Leone,2580.0,3240.0,2340.0,2220.0,4380.0,2640.0,2460.0,3000.0,1620.0,3540.0,2940.0,4740.0,2520.0,2160.0,900.0,3600.0,1860.0,2400.0,5160.0,5460.0,1980.0,4680.0,3660.0,1920.0,2760.0,2760.0,2280.0,2280.0,2700.0,2400.0
39,Malawi,6300.0,7440.0,8220.0,3720.0,5040.0,5460.0,2940.0,3660.0,3840.0,3540.0,3780.0,3600.0,2520.0,2880.0,1260.0,1440.0,1020.0,1140.0,1260.0,1020.0,1020.0,1560.0,1380.0,1680.0,1500.0,1260.0,1200.0,840.0,780.0,960.0
40,Angola,3000.0,4740.0,4680.0,1980.0,4620.0,3720.0,4260.0,3840.0,5100.0,3300.0,3000.0,1260.0,3420.0,2280.0,900.0,1500.0,2100.0,2160.0,2280.0,780.0,2100.0,1740.0,1980.0,2100.0,2340.0,2460.0,2700.0,2100.0,2520.0,3120.0
41,Nigeria,1740.0,2640.0,2940.0,2700.0,3120.0,3180.0,2760.0,2700.0,3180.0,2700.0,2940.0,2640.0,3000.0,2760.0,2700.0,4140.0,3060.0,2520.0,3000.0,2040.0,2520.0,2820.0,2460.0,2460.0,2580.0,2460.0,2580.0,2520.0,2520.0,2520.0
42,Zambia,1380.0,1740.0,1740.0,1620.0,1260.0,1560.0,1980.0,2280.0,3720.0,3540.0,5580.0,6000.0,7140.0,6000.0,6600.0,6180.0,3360.0,3660.0,2100.0,1680.0,780.0,660.0,300.0,660.0,180.0,240.0,780.0,1140.0,2040.0,900.0
43,Sri Lanka,5760.0,4920.0,3180.0,3240.0,2520.0,2160.0,2220.0,3480.0,2760.0,1920.0,1980.0,1920.0,2040.0,2220.0,1920.0,2100.0,1980.0,1980.0,1860.0,1920.0,2220.0,2160.0,2100.0,2220.0,2160.0,2160.0,2220.0,2220.0,2160.0,2160.0
44,Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,1980.0,2220.0,2520.0,1020.0,1440.0,2760.0,2160.0,2880.0,2820.0,3600.0,2820.0,3660.0,4800.0,6660.0,3540.0,4920.0,3900.0,8340.0,6180.0
45,Ghana,2280.0,4560.0,2220.0,2700.0,3420.0,3420.0,1920.0,1620.0,3240.0,5340.0,4560.0,420.0,2040.0,1080.0,1080.0,720.0,1200.0,2100.0,1560.0,1140.0,4140.0,1800.0,1260.0,1500.0,2100.0,2160.0,1560.0,780.0,900.0,840.0
46,Paraguay,7860.0,4800.0,3240.0,4020.0,1500.0,1560.0,1860.0,2940.0,1920.0,1140.0,1320.0,1320.0,2160.0,2820.0,2280.0,2640.0,2100.0,2340.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
47,Jamaica,1380.0,2340.0,1560.0,2040.0,2700.0,2580.0,3240.0,2820.0,1740.0,2280.0,2220.0,1860.0,2220.0,2220.0,1260.0,2040.0,2400.0,1200.0,1920.0,1500.0,1260.0,1440.0,1440.0,1200.0,1260.0,1200.0,1080.0,1140.0,1080.0,1380.0
48,Trinidad & Tobago,900.0,1080.0,840.0,960.0,1080.0,1080.0,1080.0,1140.0,1020.0,1020.0,960.0,960.0,1020.0,960.0,900.0,900.0,720.0,720.0,660.0,660.0,600.0,660.0,720.0,720.0,720.0,720.0,720.0,720.0,780.0,720.0
49,Liberia,180.0,180.0,180.0,300.0,300.0,300.0,300.0,300.0,1080.0,720.0,720.0,720.0,720.0,300.0,360.0,300.0,420.0,420.0,720.0,780.0,600.0,600.0,600.0,360.0,420.0,600.0,720.0,960.0,360.0,360.0
50,Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,300.0,180.0,300.0,300.0,300.0,360.0,420.0,480.0,540.0,600.0,540.0,540.0,600.0,600.0,780.0,540.0,660.0,600.0,600.0,600.0,600.0
51,Congo,180.0,180.0,180.0,180.0,480.0,720.0,840.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
52,Gabon,180.0,120.0,180.0,180.0,480.0,120.0,60.0,180.0,240.0,120.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,120.0,0.0,120.0,60.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0,0.0
53,Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,120.0,60.0,60.0,60.0,180.0,120.0,60.0,60.0,120.0,120.0,60.0,120.0,60.0,60.0
54,Equatorial Guinea,240.0,180.0,120.0,0.0,180.0,120.0,60.0,120.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
