Year,Exporter,Importer,Weight,Exporter_region,Import_region
2014,Brazil,United States,405055.8,Latin America and the Caribbean,Northern America
2014,Brazil,Germany,389136.94,Latin America and the Caribbean,Europe
2014,Colombia,United States,257585.19,Latin America and the Caribbean,Northern America
2014,Vietnam,Germany,251841.7,Eastern and South-Eastern Asia (excl. China),Europe
2014,Vietnam,"Areas, nes",229076.02,Eastern and South-Eastern Asia (excl. China),
2014,Vietnam,United States,182626.31,Eastern and South-Eastern Asia (excl. China),Northern America
2014,Brazil,Italy,164520.56,Latin America and the Caribbean,Europe
2014,Brazil,Japan,137896.88,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2014,Vietnam,Italy,120307.05,Eastern and South-Eastern Asia (excl. China),Europe
2014,Vietnam,Spain,117894.66,Eastern and South-Eastern Asia (excl. China),Europe
2014,Brazil,Belgium,109743.766,Latin America and the Caribbean,Europe
2014,Guatemala,United States,82336.87,Latin America and the Caribbean,Northern America
2014,Honduras,Germany,82182.734,Latin America and the Caribbean,Europe
2014,Vietnam,Japan,75538.84,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,United States,Canada,73532.42,Northern America,Northern America
2014,India,Italy,68532.47,Central and Southern Asia,Europe
2014,Indonesia,United States,59178.78,Eastern and South-Eastern Asia (excl. China),Northern America
2014,Colombia,Japan,58449.36,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2014,Vietnam,Belgium,57176.188,Eastern and South-Eastern Asia (excl. China),Europe
2014,Germany,United States,55310.094,Europe,Northern America
2014,Nicaragua,United States,55145.46,Latin America and the Caribbean,Northern America
2014,Mexico,United States,54484.133,Latin America and the Caribbean,Northern America
2014,Colombia,Germany,52851.33,Latin America and the Caribbean,Europe
2014,Vietnam,Russian Federation,52651.047,Eastern and South-Eastern Asia (excl. China),Europe
2014,Vietnam,Algeria,52382.902,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2014,Peru,Germany,51394.918,Latin America and the Caribbean,Europe
2014,Brazil,Spain,51199.29,Latin America and the Caribbean,Europe
2014,Vietnam,France,49594.19,Eastern and South-Eastern Asia (excl. China),Europe
2014,Cote d'Ivoire,Algeria,49460.43,Sub-Saharan Africa,Northern Africa and Western Asia
2014,Brazil,France,49291.33,Latin America and the Caribbean,Europe
2014,Brazil,United Kingdom,47493.11,Latin America and the Caribbean,Europe
2014,Colombia,Canada,46479.31,Latin America and the Caribbean,Northern America
2014,Honduras,United States,46102.074,Latin America and the Caribbean,Northern America
2014,Colombia,Belgium,45955.26,Latin America and the Caribbean,Europe
2014,Peru,United States,45636.37,Latin America and the Caribbean,Northern America
2014,Vietnam,India,43046.42,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2014,Brazil,Canada,42914.555,Latin America and the Caribbean,Northern America
2014,Indonesia,Japan,41556.082,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Brazil,Sweden,40135.945,Latin America and the Caribbean,Europe
2014,Indonesia,Germany,40105.5,Eastern and South-Eastern Asia (excl. China),Europe
2014,Costa Rica,United States,39261.56,Latin America and the Caribbean,Northern America
2014,Belgium,Netherlands,39032.86,Europe,Europe
2014,Uganda,Italy,38096.355,Sub-Saharan Africa,Europe
2014,Vietnam,China,36268.312,Eastern and South-Eastern Asia (excl. China),China
2014,Brazil,Turkey,35483.08,Latin America and the Caribbean,Northern Africa and Western Asia
2014,Vietnam,Thailand,35193.05,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Brazil,Switzerland,34620.566,Latin America and the Caribbean,Europe
2014,Vietnam,Ecuador,34476.902,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean
2014,Vietnam,United Kingdom,34299.805,Eastern and South-Eastern Asia (excl. China),Europe
2014,Canada,United States,33965.797,Northern America,Northern America
2014,Vietnam,"Korea, Republic",32175.11,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Ethiopia,Germany,31889.049,Sub-Saharan Africa,Europe
2014,Brazil,Finland,30448.877,Latin America and the Caribbean,Europe
2014,Uganda,Germany,30275.742,Sub-Saharan Africa,Europe
2014,Indonesia,Italy,30268.014,Eastern and South-Eastern Asia (excl. China),Europe
2014,Indonesia,Malaysia,29528.9,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Vietnam,Malaysia,29397.96,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Brazil,Russian Federation,29274.602,Latin America and the Caribbean,Europe
2014,Germany,Poland,29258.352,Europe,Europe
2014,India,Germany,29062.105,Central and Southern Asia,Europe
2014,Brazil,Mexico,28037.73,Latin America and the Caribbean,Latin America and the Caribbean
2014,Vietnam,Poland,27912.645,Eastern and South-Eastern Asia (excl. China),Europe
2014,Ethiopia,Saudi Arabia,27817.549,Sub-Saharan Africa,Northern Africa and Western Asia
2014,Germany,Poland,27334.076,Europe,Europe
2014,Italy,Germany,25959.7,Europe,Europe
2014,Germany,Netherlands,25345.03,Europe,Europe
2014,Guatemala,Japan,24622.78,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2014,Brazil,Lebanon,23860.363,Latin America and the Caribbean,Northern Africa and Western Asia
2014,Brazil,"Korea, Republic",23790.93,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2014,China,Germany,23435.55,China,Europe
2014,Brazil,Argentina,23341.44,Latin America and the Caribbean,Latin America and the Caribbean
2014,Brazil,Slovenia,23111.82,Latin America and the Caribbean,Europe
2014,Uganda,Sudan,21809.584,Sub-Saharan Africa,Northern Africa and Western Asia
2014,Colombia,United Kingdom,21348.428,Latin America and the Caribbean,Europe
2014,United States,Canada,21149.508,Northern America,Northern America
2014,Brazil,Netherlands,21102.55,Latin America and the Caribbean,Europe
2014,Vietnam,Mexico,20715.283,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean
2014,Guatemala,Canada,20448.502,Latin America and the Caribbean,Northern America
2014,Brazil,Greece,20141.605,Latin America and the Caribbean,Europe
2014,Germany,Austria,19989.088,Europe,Europe
2014,Indonesia,Russian Federation,19808.695,Eastern and South-Eastern Asia (excl. China),Europe
2014,Brazil,Syria,19577.76,Latin America and the Caribbean,Northern Africa and Western Asia
2014,Colombia,"Korea, Republic",19406.117,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2014,Ethiopia,Japan,19265.13,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China)
2014,Belgium,France,18694.031,Europe,Europe
2014,Germany,Slovakia,18415.703,Europe,Europe
2014,Switzerland,France,18311.441,Europe,Europe
2014,Colombia,Switzerland,17726.742,Latin America and the Caribbean,Europe
2014,Colombia,Spain,17219.607,Latin America and the Caribbean,Europe
2014,Vietnam,Philippines,17204.248,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Germany,France,16869.299,Europe,Europe
2014,Italy,France,16617.453,Europe,Europe
2014,Ethiopia,United States,16453.941,Sub-Saharan Africa,Northern America
2014,Poland,Czech Republic,16194.531,Europe,Europe
2014,Poland,Germany,16073.791,Europe,Europe
2014,Netherlands,Germany,16029.946,Europe,Europe
2014,Papua New Guinea,Germany,15862.365,Oceania (excl. Australia and New Zealand),Europe
2014,Honduras,France,15589.043,Latin America and the Caribbean,Europe
2014,Brazil,United States,15324.899,Latin America and the Caribbean,Northern America
2014,Brazil,Bosnia Herzegovina,15302.274,Latin America and the Caribbean,Europe
2014,Germany,Spain,15268.723,Europe,Europe
2014,Indonesia,Egypt,15185.676,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2014,Vietnam,Indonesia,15099.27,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Colombia,Italy,14694.465,Latin America and the Caribbean,Europe
2014,Indonesia,India,14574.9,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
