0,Belgium,0
1,Brazil,1
2,Canada,2
3,Colombia,3
4,Ethiopia,4
5,France,5
6,Germany,6
7,Guatemala,7
8,Honduras,8
9,India,9
10,Indonesia,10
11,Italy,11
12,Japan,12
13,Netherlands,13
14,Peru,14
15,Poland,15
16,Russian Federation,16
17,Spain,17
18,Uganda,18
19,United Kingdom,19
20,United States,20
21,Vietnam,21
22,Others (Exporter),22
23,Others (Importer),23
