Year,Exporter,Importer,Weight,Exporter_region,Import_region
2018,Brazil,United States,336474.25,Latin America and the Caribbean,Northern America
2018,Brazil,Germany,332278.8,Latin America and the Caribbean,Europe
2018,Colombia,United States,318010.7,Latin America and the Caribbean,Northern America
2018,Brazil,Italy,179280.92,Latin America and the Caribbean,Europe
2018,Vietnam,Germany,161871.31,Eastern and South-Eastern Asia (excl. China),Europe
2018,Switzerland,France,145630.5,Europe,Europe
2018,Vietnam,United States,116915.125,Eastern and South-Eastern Asia (excl. China),Northern America
2018,Brazil,Japan,115539.28,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2018,Honduras,Germany,98228.42,Latin America and the Caribbean,Europe
2018,Vietnam,Italy,87206.87,Eastern and South-Eastern Asia (excl. China),Europe
2018,Guatemala,United States,81353.8,Latin America and the Caribbean,Northern America
2018,India,Italy,77952.84,Central and Southern Asia,Europe
2018,Vietnam,Spain,76037.96,Eastern and South-Eastern Asia (excl. China),Europe
2018,Brazil,Belgium,75954.53,Latin America and the Caribbean,Europe
2018,Nicaragua,United States,70977.83,Latin America and the Caribbean,Northern America
2018,Brazil,United Kingdom,65808.88,Latin America and the Caribbean,Europe
2018,Vietnam,Japan,64373.92,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Colombia,Japan,62713.445,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2018,Peru,United States,61778.297,Latin America and the Caribbean,Northern America
2018,Colombia,Canada,60844.164,Latin America and the Caribbean,Northern America
2018,Germany,Poland,59974.727,Europe,Europe
2018,Honduras,United States,59751.336,Latin America and the Caribbean,Northern America
2018,Colombia,Germany,58828.6,Latin America and the Caribbean,Europe
2018,Peru,Germany,57206.664,Latin America and the Caribbean,Europe
2018,Vietnam,Russian Federation,56523.195,Eastern and South-Eastern Asia (excl. China),Europe
2018,Uganda,Italy,55224.023,Sub-Saharan Africa,Europe
2018,Brazil,Turkey,54845.688,Latin America and the Caribbean,Northern Africa and Western Asia
2018,Germany,United States,54455.832,Europe,Northern America
2018,Mexico,United States,53323.973,Latin America and the Caribbean,Northern America
2018,Indonesia,United States,53219.086,Eastern and South-Eastern Asia (excl. China),Northern America
2018,Uganda,Germany,48843.504,Sub-Saharan Africa,Europe
2018,Honduras,Belgium,48832.07,Latin America and the Caribbean,Europe
2018,United States,Canada,48715.176,Northern America,Northern America
2018,Brazil,Canada,46473.094,Latin America and the Caribbean,Northern America
2018,Brazil,France,44332.246,Latin America and the Caribbean,Europe
2018,Canada,United States,43250.008,Northern America,Northern America
2018,Brazil,Spain,41833.35,Latin America and the Caribbean,Europe
2018,Honduras,"Areas, nes",41365.637,Latin America and the Caribbean,
2018,Vietnam,Algeria,40342.66,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2018,Italy,Germany,39533.88,Europe,Europe
2018,Vietnam,Indonesia,39373.52,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Brazil,Sweden,38235.35,Latin America and the Caribbean,Europe
2018,Indonesia,Malaysia,37350.582,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Vietnam,Thailand,36675.562,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Vietnam,Belgium,36614.727,Eastern and South-Eastern Asia (excl. China),Europe
2018,Cote d'Ivoire,Algeria,36198.08,Sub-Saharan Africa,Northern Africa and Western Asia
2018,Costa Rica,United States,35960.727,Latin America and the Caribbean,Northern America
2018,Germany,Poland,35081.33,Europe,Europe
2018,Vietnam,United Kingdom,34536.12,Eastern and South-Eastern Asia (excl. China),Europe
2018,Vietnam,India,33789.367,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2018,Brazil,Switzerland,33638.62,Latin America and the Caribbean,Europe
2018,Ethiopia,Saudi Arabia,33354.94,Sub-Saharan Africa,Northern Africa and Western Asia
2018,Brazil,Russian Federation,31279.016,Latin America and the Caribbean,Europe
2018,Netherlands,France,30696.623,Europe,Europe
2018,Indonesia,Japan,30351.969,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Germany,Netherlands,29716.076,Europe,Europe
2018,Brazil,Finland,29639.113,Latin America and the Caribbean,Europe
2018,Brazil,"Korea, Republic",29572.71,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2018,Ethiopia,Germany,29478.758,Sub-Saharan Africa,Europe
2018,Indonesia,Italy,28505.043,Eastern and South-Eastern Asia (excl. China),Europe
2018,India,Germany,28027.887,Central and Southern Asia,Europe
2018,Colombia,"Korea, Republic",26625.012,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2018,Brazil,Netherlands,26497.883,Latin America and the Caribbean,Europe
2018,Brazil,Lebanon,26435.934,Latin America and the Caribbean,Northern Africa and Western Asia
2018,Brazil,Argentina,25894.39,Latin America and the Caribbean,Latin America and the Caribbean
2018,Vietnam,Philippines,24850.3,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Belgium,Netherlands,24762.906,Europe,Europe
2018,Guatemala,Japan,24411.674,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2018,Germany,Spain,24408.549,Europe,Europe
2018,Colombia,Belgium,23821.713,Latin America and the Caribbean,Europe
