Year,Exporter,Importer,Weight,Exporter_region,Import_region
2005,Kenya,Pakistan,96627.125,Sub-Saharan Africa,Central and Southern Asia
2005,Kenya,Egypt,75891.77,Sub-Saharan Africa,Northern Africa and Western Asia
2005,Kenya,United Kingdom,61604.28,Sub-Saharan Africa,Europe
2005,China,Morocco,41787.89,China,Northern Africa and Western Asia
2005,Sri Lanka,Russian Federation,39322.023,Central and Southern Asia,Europe
2005,India,Russian Federation,29012.34,Central and Southern Asia,Europe
2005,Brazil,Uruguay,27183.973,Latin America and the Caribbean,Latin America and the Caribbean
2005,Argentina,United States,24767.348,Latin America and the Caribbean,Northern America
2005,Sri Lanka,United Arab Emirates,23886.11,Central and Southern Asia,Northern Africa and Western Asia
2005,India,United Kingdom,22610.105,Central and Southern Asia,Europe
2005,Sri Lanka,Russian Federation,22387.762,Central and Southern Asia,Europe
2005,Uganda,Kenya,20991.855,Sub-Saharan Africa,Sub-Saharan Africa
2005,Sri Lanka,Syria,18908.469,Central and Southern Asia,Northern Africa and Western Asia
2005,Kenya,Former Sudan,18233.629,Sub-Saharan Africa,
2005,China,Japan,17818.303,China,Eastern and South-Eastern Asia (excl. China)
2005,Argentina,Syria,16291.564,Latin America and the Caribbean,Northern Africa and Western Asia
2005,"Areas, nes",United Arab Emirates,15524.788,,Northern Africa and Western Asia
2005,Sri Lanka,United Arab Emirates,15248.419,Central and Southern Asia,Northern Africa and Western Asia
2005,China,Japan,15021.174,China,Eastern and South-Eastern Asia (excl. China)
2005,Indonesia,Russian Federation,14850.125,Eastern and South-Eastern Asia (excl. China),Europe
2005,India,United Arab Emirates,14543.297,Central and Southern Asia,Northern Africa and Western Asia
2005,India,Iraq,14161.009,Central and Southern Asia,Northern Africa and Western Asia
2005,Tanzania,Kenya,14036.653,Sub-Saharan Africa,Sub-Saharan Africa
2005,Sri Lanka,Iran,13998.299,Central and Southern Asia,Central and Southern Asia
2005,China,Uzbekistan,12271.569,China,Central and Southern Asia
2005,Uganda,Kenya,12263.157,Sub-Saharan Africa,Sub-Saharan Africa
2005,Kenya,Yemen,12185.039,Sub-Saharan Africa,Northern Africa and Western Asia
2005,Malawi,South Africa,11644.48,Sub-Saharan Africa,Sub-Saharan Africa
2005,Kenya,Russian Federation,11265.078,Sub-Saharan Africa,Europe
2005,Kenya,Afghanistan,11018.876,Sub-Saharan Africa,Central and Southern Asia
2005,Malawi,United Kingdom,10656.36,Sub-Saharan Africa,Europe
2005,Sri Lanka,Libya,10643.331,Central and Southern Asia,Northern Africa and Western Asia
2005,Sri Lanka,Turkey,10439.879,Central and Southern Asia,Northern Africa and Western Asia
2005,India,Kazakhstan,10291.922,Central and Southern Asia,Central and Southern Asia
2005,Rwanda,Kenya,9551.181,Sub-Saharan Africa,Sub-Saharan Africa
2005,Germany,United States,9530.88,Europe,Northern America
2005,China,Morocco,9347.33,China,Northern Africa and Western Asia
