Year,Exporter,Importer,Weight,Exporter_region,Import_region
2013,Brazil,United States,335570.4,Latin America and the Caribbean,Northern America
2013,Brazil,Germany,323975.25,Latin America and the Caribbean,Europe
2013,Colombia,United States,239845.38,Latin America and the Caribbean,Northern America
2013,Vietnam,Germany,196379.88,Eastern and South-Eastern Asia (excl. China),Europe
2013,Vietnam,United States,172990.03,Eastern and South-Eastern Asia (excl. China),Northern America
2013,Brazil,Italy,155546.44,Latin America and the Caribbean,Europe
2013,Brazil,Japan,152690.05,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2013,Vietnam,"Areas, nes",148935.81,Eastern and South-Eastern Asia (excl. China),
2013,Vietnam,Spain,112516.49,Eastern and South-Eastern Asia (excl. China),Europe
2013,Guatemala,United States,98083.5,Latin America and the Caribbean,Northern America
2013,Vietnam,Italy,96806.75,Eastern and South-Eastern Asia (excl. China),Europe
2013,Peru,Germany,83474.53,Latin America and the Caribbean,Europe
2013,Mexico,United States,80620.39,Latin America and the Caribbean,Northern America
2013,Honduras,Germany,79550.35,Latin America and the Caribbean,Europe
2013,Vietnam,Japan,78037.09,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Indonesia,United States,71833.336,Eastern and South-Eastern Asia (excl. China),Northern America
2013,India,Italy,71311.68,Central and Southern Asia,Europe
2013,Brazil,Belgium,68020.414,Latin America and the Caribbean,Europe
2013,United States,Canada,67736.74,Northern America,Northern America
2013,Germany,United States,64665.67,Europe,Northern America
2013,Indonesia,Germany,62271.27,Eastern and South-Eastern Asia (excl. China),Europe
2013,Colombia,Japan,61322.953,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2013,Cote d'Ivoire,Algeria,57189.766,Sub-Saharan Africa,Northern Africa and Western Asia
2013,Peru,United States,50425.695,Latin America and the Caribbean,Northern America
2013,Brazil,France,48033.848,Latin America and the Caribbean,Europe
2013,Costa Rica,United States,43823.18,Latin America and the Caribbean,Northern America
2013,Indonesia,Japan,43713.11,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Vietnam,France,41791.08,Eastern and South-Eastern Asia (excl. China),Europe
2013,Indonesia,Malaysia,41787.82,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Nicaragua,United States,41714.523,Latin America and the Caribbean,Northern America
2013,Vietnam,Russian Federation,41411.664,Eastern and South-Eastern Asia (excl. China),Europe
2013,Brazil,Sweden,40913.695,Latin America and the Caribbean,Europe
2013,Colombia,Germany,40821.484,Latin America and the Caribbean,Europe
2013,Brazil,Spain,40808.445,Latin America and the Caribbean,Europe
2013,Honduras,United States,40741.41,Latin America and the Caribbean,Northern America
2013,Germany,Poland,39946.805,Europe,Europe
2013,Vietnam,United Kingdom,39700.22,Eastern and South-Eastern Asia (excl. China),Europe
2013,Brazil,Switzerland,39330.85,Latin America and the Caribbean,Europe
2013,Vietnam,Algeria,38326.555,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2013,Indonesia,Italy,37951.93,Eastern and South-Eastern Asia (excl. China),Europe
2013,Guatemala,Japan,37629.598,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2013,Colombia,Canada,37391.766,Latin America and the Caribbean,Northern America
2013,Uganda,Germany,34947.03,Sub-Saharan Africa,Europe
2013,Canada,United States,34042.945,Northern America,Northern America
2013,Vietnam,"Korea, Republic",33872.133,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Colombia,Belgium,32872.617,Latin America and the Caribbean,Europe
2013,Brazil,Canada,32373.94,Latin America and the Caribbean,Northern America
2013,Ethiopia,Germany,32206.695,Sub-Saharan Africa,Europe
2013,Brazil,Argentina,32073.357,Latin America and the Caribbean,Latin America and the Caribbean
2013,Germany,Poland,31868.316,Europe,Europe
2013,Brazil,United Kingdom,31419.426,Latin America and the Caribbean,Europe
2013,Vietnam,India,30614.867,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2013,Brazil,Turkey,29718.34,Latin America and the Caribbean,Northern Africa and Western Asia
2013,Brazil,Finland,29582.117,Latin America and the Caribbean,Europe
2013,Vietnam,Belgium,29242.53,Eastern and South-Eastern Asia (excl. China),Europe
2013,Vietnam,Poland,28187.021,Eastern and South-Eastern Asia (excl. China),Europe
2013,India,Germany,27513.766,Central and Southern Asia,Europe
2013,Indonesia,Russian Federation,26864.625,Eastern and South-Eastern Asia (excl. China),Europe
2013,Vietnam,China,26559.29,Eastern and South-Eastern Asia (excl. China),China
2013,China,Germany,26492.68,China,Europe
2013,Uganda,Switzerland,26195.254,Sub-Saharan Africa,Europe
2013,Belgium,Netherlands,26050.084,Europe,Europe
2013,El Salvador,United States,25442.16,Latin America and the Caribbean,Northern America
2013,Brazil,Lebanon,25145.564,Latin America and the Caribbean,Northern Africa and Western Asia
2013,Vietnam,Malaysia,25113.781,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
