Year,Exporter,Importer,Weight,Exporter_region,Import_region
2013,Kenya,Pakistan,81229.84,Sub-Saharan Africa,Central and Southern Asia
2013,"Areas, nes",Afghanistan,80751.72,,Central and Southern Asia
2013,Kenya,Egypt,79532.31,Sub-Saharan Africa,Northern Africa and Western Asia
2013,Kenya,Afghanistan,62657.17,Sub-Saharan Africa,Central and Southern Asia
2013,Kenya,United Kingdom,55738.58,Sub-Saharan Africa,Europe
2013,China,Morocco,53493.414,China,Northern Africa and Western Asia
2013,Argentina,United States,50248.586,Latin America and the Caribbean,Northern America
2013,Sri Lanka,Russian Federation,41370.688,Central and Southern Asia,Europe
2013,Free Zones,United Arab Emirates,41303.7,,Northern Africa and Western Asia
2013,India,Russian Federation,39922.47,Central and Southern Asia,Europe
2013,Brazil,Uruguay,32428.812,Latin America and the Caribbean,Latin America and the Caribbean
2013,Sri Lanka,Iran,29390.562,Central and Southern Asia,Central and Southern Asia
2013,India,Iran,25379.863,Central and Southern Asia,Central and Southern Asia
2013,Kenya,Sudan,24742.914,Sub-Saharan Africa,Northern Africa and Western Asia
2013,Uganda,Kenya,23270.387,Sub-Saharan Africa,Sub-Saharan Africa
2013,China,Uzbekistan,23227.67,China,Central and Southern Asia
2013,Argentina,Syria,22702.607,Latin America and the Caribbean,Northern Africa and Western Asia
2013,Kenya,Russian Federation,19678.182,Sub-Saharan Africa,Europe
2013,India,Pakistan,18962.81,Central and Southern Asia,Central and Southern Asia
2013,Sri Lanka,Syria,18281.842,Central and Southern Asia,Northern Africa and Western Asia
2013,Kenya,Yemen,18063.547,Sub-Saharan Africa,Northern Africa and Western Asia
2013,India,United Kingdom,17177.072,Central and Southern Asia,Europe
2013,Uganda,Kenya,15559.557,Sub-Saharan Africa,Sub-Saharan Africa
2013,India,United Arab Emirates,15128.589,Central and Southern Asia,Northern Africa and Western Asia
2013,Kenya,Kazakhstan,14725.49,Sub-Saharan Africa,Central and Southern Asia
2013,Kenya,United Arab Emirates,14565.357,Sub-Saharan Africa,Northern Africa and Western Asia
2013,Indonesia,United Kingdom,14298.307,Eastern and South-Eastern Asia (excl. China),Europe
2013,China,Japan,13406.67,China,Eastern and South-Eastern Asia (excl. China)
2013,China,Mauritania,13317.289,China,Sub-Saharan Africa
2013,United Arab Emirates,Iran,12838.951,Northern Africa and Western Asia,Central and Southern Asia
2013,Malawi,South Africa,12298.408,Sub-Saharan Africa,Sub-Saharan Africa
2013,Sri Lanka,United Arab Emirates,12290.616,Central and Southern Asia,Northern Africa and Western Asia
2013,Sri Lanka,Azerbaijan,12114.89,Central and Southern Asia,Northern Africa and Western Asia
2013,Vietnam,"Other Asia, nes",12011.889,Eastern and South-Eastern Asia (excl. China),
2013,China,United States,11872.689,China,Northern America
2013,Argentina,Chile,11181.798,Latin America and the Caribbean,Latin America and the Caribbean
2013,Vietnam,Russian Federation,10995.725,Eastern and South-Eastern Asia (excl. China),Europe
2013,India,United States,10593.4375,Central and Southern Asia,Northern America
2013,India,Bangladesh,10471.224,Central and Southern Asia,Central and Southern Asia
2013,India,Kazakhstan,10413.462,Central and Southern Asia,Central and Southern Asia
2013,China,Russian Federation,10149.473,China,Europe
2013,China,Algeria,10133.832,China,Northern Africa and Western Asia
2013,Sri Lanka,Russian Federation,10045.957,Central and Southern Asia,Europe
2013,Vietnam,"Other Asia, nes",9964.375,Eastern and South-Eastern Asia (excl. China),
2013,Sri Lanka,Turkey,9677.812,Central and Southern Asia,Northern Africa and Western Asia
2013,United Arab Emirates,Saudi Arabia,9620.203,Northern Africa and Western Asia,Northern Africa and Western Asia
2013,Sri Lanka,Japan,9506.674,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2013,Vietnam,Afghanistan,9467.53,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2013,Singapore,United Kingdom,9375.328,Eastern and South-Eastern Asia (excl. China),Europe
2013,Indonesia,Russian Federation,9317.423,Eastern and South-Eastern Asia (excl. China),Europe
2013,United Arab Emirates,Iran,9024.17,Northern Africa and Western Asia,Central and Southern Asia
2013,Malawi,United Kingdom,8735.658,Sub-Saharan Africa,Europe
2013,China,United States,8685.208,China,Northern America
2013,Nepal,India,8346.978,Central and Southern Asia,Central and Southern Asia
2013,Rwanda,Kenya,8256.845,Sub-Saharan Africa,Sub-Saharan Africa
2013,Rwanda,Kenya,8166.0986,Sub-Saharan Africa,Sub-Saharan Africa
2013,China,Afghanistan,8119.799,China,Central and Southern Asia
2013,India,Germany,8103.0684,Central and Southern Asia,Europe
2013,Indonesia,Malaysia,7987.545,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Vietnam,United States,7864.716,Eastern and South-Eastern Asia (excl. China),Northern America
2013,Sri Lanka,Iraq,7859.735,Central and Southern Asia,Northern Africa and Western Asia
2013,India,Egypt,7854.8267,Central and Southern Asia,Northern Africa and Western Asia
2013,Vietnam,China,7738.913,Eastern and South-Eastern Asia (excl. China),China
2013,China,Germany,7678.6914,China,Europe
2013,Sri Lanka,Turkey,7570.3154,Central and Southern Asia,Northern Africa and Western Asia
2013,China,Mali,7522.5,China,Sub-Saharan Africa
2013,Vietnam,Indonesia,7451.8027,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Belgium,Netherlands,7179.4585,Europe,Europe
2013,Vietnam,Pakistan,7096.5615,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2013,Sri Lanka,Chile,6875.788,Central and Southern Asia,Latin America and the Caribbean
2013,Vietnam,Pakistan,6816.9517,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2013,China,Togo,6711.9937,China,Sub-Saharan Africa
2013,Sri Lanka,Germany,6560.8677,Central and Southern Asia,Europe
2013,Kenya,Poland,6389.04,Sub-Saharan Africa,Europe
2013,United Arab Emirates,Russian Federation,6171.2637,Northern Africa and Western Asia,Europe
2013,Zimbabwe,South Africa,5909.118,Sub-Saharan Africa,Sub-Saharan Africa
2013,Rwanda,Pakistan,5823.486,Sub-Saharan Africa,Central and Southern Asia
2013,China,Gambia,5747.707,China,Sub-Saharan Africa
2013,China,Senegal,5635.9653,China,Sub-Saharan Africa
2013,Indonesia,Pakistan,5617.082,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2013,Sri Lanka,Ukraine,5591.665,Central and Southern Asia,Europe
2013,China,Morocco,5513.4346,China,Northern Africa and Western Asia
2013,Kenya,Iran,5087.653,Sub-Saharan Africa,Central and Southern Asia
2013,Sri Lanka,China,4924.605,Central and Southern Asia,China
2013,China,"China, Hong Kong SAR",4781.897,China,China
2013,Tanzania,United Kingdom,4714.7236,Sub-Saharan Africa,Europe
2013,Sri Lanka,"China, Hong Kong SAR",4700.5254,Central and Southern Asia,China
2013,Sri Lanka,United Arab Emirates,4644.339,Central and Southern Asia,Northern Africa and Western Asia
2013,Tanzania,Kenya,4596.737,Sub-Saharan Africa,Sub-Saharan Africa
2013,Vietnam,Indonesia,4472.6416,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,Argentina,Chile,4430.42,Latin America and the Caribbean,Latin America and the Caribbean
2013,India,Tunisia,4391.33,Central and Southern Asia,Northern Africa and Western Asia
2013,Sri Lanka,Syria,4362.995,Central and Southern Asia,Northern Africa and Western Asia
2013,Kenya,India,4321.5044,Sub-Saharan Africa,Central and Southern Asia
2013,Malawi,United States,4313.338,Sub-Saharan Africa,Northern America
2013,Sri Lanka,Iraq,4300.051,Central and Southern Asia,Northern Africa and Western Asia
2013,China,Libya,4288.26,China,Northern Africa and Western Asia
2013,Indonesia,United States,4240.4346,Eastern and South-Eastern Asia (excl. China),Northern America
2013,Iran,Indonesia,4207.335,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2013,Burundi,Kenya,4187.135,Sub-Saharan Africa,Sub-Saharan Africa
2013,Azerbaijan,Iraq,4141.788,Northern Africa and Western Asia,Northern Africa and Western Asia
2013,China,Cameroon,4062.5024,China,Sub-Saharan Africa
2013,India,Poland,4029.8276,Central and Southern Asia,Europe
2013,India,China,3989.2344,Central and Southern Asia,China
2013,Kenya,Nigeria,3965.394,Sub-Saharan Africa,Sub-Saharan Africa
2013,Sri Lanka,Jordan,3940.742,Central and Southern Asia,Northern Africa and Western Asia
2013,United Kingdom,Ireland,3938.9038,Europe,Europe
2013,Russian Federation,Ukraine,3905.7432,Europe,Europe
2013,Indonesia,Germany,3849.7664,Eastern and South-Eastern Asia (excl. China),Europe
2013,Zimbabwe,Mozambique,3736.862,Sub-Saharan Africa,Sub-Saharan Africa
2013,India,United Arab Emirates,3725.7703,Central and Southern Asia,Northern Africa and Western Asia
2013,China,Niger,3711.541,China,Sub-Saharan Africa
2013,India,Afghanistan,3633.041,Central and Southern Asia,Central and Southern Asia
2013,India,United States,3594.255,Central and Southern Asia,Northern America
2013,Burundi,Pakistan,3543.776,Sub-Saharan Africa,Central and Southern Asia
2013,China,Japan,3516.431,China,Eastern and South-Eastern Asia (excl. China)
2013,Vietnam,Malaysia,3510.2012,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2013,United Kingdom,Canada,3464.0723,Europe,Northern America
2013,Vietnam,"Areas, nes",3413.99,Eastern and South-Eastern Asia (excl. China),
2013,Vietnam,Poland,3413.4487,Eastern and South-Eastern Asia (excl. China),Europe
2013,China,France,3347.649,China,Europe
2013,Kenya,Ireland,3347.455,Sub-Saharan Africa,Europe
2013,India,Afghanistan,3236.088,Central and Southern Asia,Central and Southern Asia
2013,India,Netherlands,3157.3687,Central and Southern Asia,Europe
2013,China,Pakistan,3139.8374,China,Central and Southern Asia
2013,United Arab Emirates,Kuwait,3116.2632,Northern Africa and Western Asia,Northern Africa and Western Asia
2013,China,Ghana,3114.905,China,Sub-Saharan Africa
2013,Tanzania,South Africa,3084.211,Sub-Saharan Africa,Sub-Saharan Africa
2013,India,Japan,3077.9233,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2013,United States,Canada,3061.3135,Northern America,Northern America
2013,Switzerland,United Kingdom,3022.5405,Europe,Europe
2013,China,Germany,2990.3267,China,Europe
2013,Sri Lanka,Australia,2981.48,Central and Southern Asia,Australia and New Zealand
2013,Sri Lanka,Kuwait,2916.072,Central and Southern Asia,Northern Africa and Western Asia
2013,India,Australia,2900.952,Central and Southern Asia,Australia and New Zealand
2013,Germany,United States,2885.8545,Europe,Northern America
2013,China,"Other Asia, nes",2840.9111,China,
2013,China,Ukraine,2832.2583,China,Europe
2013,Kenya,United States,2822.7798,Sub-Saharan Africa,Northern America
2013,Brazil,Chile,2808.456,Latin America and the Caribbean,Latin America and the Caribbean
2013,China,Algeria,2802.9834,China,Northern Africa and Western Asia
2013,United Arab Emirates,Oman,2764.4182,Northern Africa and Western Asia,Northern Africa and Western Asia
2013,Russian Federation,Belarus,2680.3406,Europe,Europe
2013,Netherlands,Poland,2665.208,Europe,Europe
2013,Pakistan,Afghanistan,2644.174,Central and Southern Asia,Central and Southern Asia
2013,Uganda,Pakistan,2573.743,Sub-Saharan Africa,Central and Southern Asia
2013,Indonesia,Poland,2566.0479,Eastern and South-Eastern Asia (excl. China),Europe
2013,Sri Lanka,South Africa,2555.0186,Central and Southern Asia,Sub-Saharan Africa
2013,China,Russian Federation,2551.3687,China,Europe
2013,Argentina,Brazil,2549.666,Latin America and the Caribbean,Latin America and the Caribbean
2013,China,Tunisia,2473.192,China,Northern Africa and Western Asia
2013,Sri Lanka,Ukraine,2470.9534,Central and Southern Asia,Europe
2013,Iran,Tajikistan,2469.76,Central and Southern Asia,Central and Southern Asia
2013,Iran,Tajikistan,2383.5,Central and Southern Asia,Central and Southern Asia
