Year,Exporter,Importer,Weight,Exporter_region,Import_region
2018,Kenya,Pakistan,171716.31,Sub-Saharan Africa,Central and Southern Asia
2018,Kenya,Egypt,78206.25,Sub-Saharan Africa,Northern Africa and Western Asia
2018,China,Morocco,66786.07,China,Northern Africa and Western Asia
2018,Kenya,United Kingdom,57903.26,Sub-Saharan Africa,Europe
2018,India,Russian Federation,49237.438,Central and Southern Asia,Europe
2018,Argentina,United States,48733.824,Latin America and the Caribbean,Northern America
2018,Kenya,United Arab Emirates,45248.664,Sub-Saharan Africa,Northern Africa and Western Asia
2018,Kenya,Afghanistan,34897.3,Sub-Saharan Africa,Central and Southern Asia
2018,Argentina,Syria,32205.3,Latin America and the Caribbean,Northern Africa and Western Asia
2018,India,Iran,31885.059,Central and Southern Asia,Central and Southern Asia
2018,Brazil,Uruguay,31660.012,Latin America and the Caribbean,Latin America and the Caribbean
2018,Uganda,Kenya,30941.686,Sub-Saharan Africa,Sub-Saharan Africa
2018,Vietnam,Afghanistan,29346.8,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2018,China,Uzbekistan,24691.262,China,Central and Southern Asia
2018,Sri Lanka,Russian Federation,24642.12,Central and Southern Asia,Europe
2018,Kenya,Sudan,24585.71,Sub-Saharan Africa,Northern Africa and Western Asia
2018,India,United Arab Emirates,23594.426,Central and Southern Asia,Northern Africa and Western Asia
2018,Kenya,Russian Federation,20103.148,Sub-Saharan Africa,Europe
2018,India,United Kingdom,16675.178,Central and Southern Asia,Europe
2018,China,Mauritania,14961.537,China,Sub-Saharan Africa
2018,Rwanda,Pakistan,14378.562,Sub-Saharan Africa,Central and Southern Asia
2018,India,Pakistan,14054.634,Central and Southern Asia,Central and Southern Asia
2018,Sri Lanka,Iran,13017.39,Central and Southern Asia,Central and Southern Asia
2018,Malawi,United Kingdom,11828.678,Sub-Saharan Africa,Europe
2018,Kenya,Kazakhstan,11772.848,Sub-Saharan Africa,Central and Southern Asia
2018,Kenya,Afghanistan,11483.928,Sub-Saharan Africa,Central and Southern Asia
2018,United Arab Emirates,Iraq,11283.351,Northern Africa and Western Asia,Northern Africa and Western Asia
2018,China,Russian Federation,11159.145,China,Europe
2018,Malawi,South Africa,10859.412,Sub-Saharan Africa,Sub-Saharan Africa
2018,Kenya,Yemen,10517.406,Sub-Saharan Africa,Northern Africa and Western Asia
2018,India,Germany,10508.756,Central and Southern Asia,Europe
2018,Sri Lanka,Azerbaijan,10307.6,Central and Southern Asia,Northern Africa and Western Asia
2018,India,Egypt,10110.016,Central and Southern Asia,Northern Africa and Western Asia
2018,Sri Lanka,China,10043.896,Central and Southern Asia,China
2018,India,Kazakhstan,10027.322,Central and Southern Asia,Central and Southern Asia
2018,India,China,9988.439,Central and Southern Asia,China
2018,United Arab Emirates,Saudi Arabia,9965.261,Northern Africa and Western Asia,Northern Africa and Western Asia
2018,China,Algeria,9901.279,China,Northern Africa and Western Asia
2018,Argentina,Chile,9760.227,Latin America and the Caribbean,Latin America and the Caribbean
2018,China,Senegal,9424.811,China,Sub-Saharan Africa
2018,China,Morocco,9319.078,China,Northern Africa and Western Asia
2018,Sri Lanka,Turkey,9241.449,Central and Southern Asia,Northern Africa and Western Asia
2018,United Arab Emirates,Iran,9147.115,Northern Africa and Western Asia,Central and Southern Asia
2018,China,Japan,9120.775,China,Eastern and South-Eastern Asia (excl. China)
2018,India,United States,8847.426,Central and Southern Asia,Northern America
2018,Indonesia,Malaysia,8535.303,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2018,Nepal,India,8468.262,Central and Southern Asia,Central and Southern Asia
2018,China,Ghana,8450.154,China,Sub-Saharan Africa
2018,China,Mali,8382.452,China,Sub-Saharan Africa
2018,China,Germany,8070.8374,China,Europe
2018,United Arab Emirates,Russian Federation,7934.508,Northern Africa and Western Asia,Europe
2018,Kenya,Poland,7879.2715,Sub-Saharan Africa,Europe
2018,China,Togo,7760.305,China,Sub-Saharan Africa
2018,Indonesia,Russian Federation,7464.632,Eastern and South-Eastern Asia (excl. China),Europe
2018,Sri Lanka,Chile,7241.937,Central and Southern Asia,Latin America and the Caribbean
2018,Sri Lanka,Russian Federation,7158.079,Central and Southern Asia,Europe
2018,Vietnam,Pakistan,7086.182,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2018,China,United States,7012.652,China,Northern America
2018,Sri Lanka,Japan,6752.83,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2018,Zimbabwe,South Africa,6545.1265,Sub-Saharan Africa,Sub-Saharan Africa
2018,China,Libya,6541.18,China,Northern Africa and Western Asia
2018,Sri Lanka,United Arab Emirates,6490.784,Central and Southern Asia,Northern Africa and Western Asia
2018,China,Mali,6161.7227,China,Sub-Saharan Africa
2018,United Arab Emirates,Iran,6048.4604,Northern Africa and Western Asia,Central and Southern Asia
2018,Uganda,Kenya,5949.3066,Sub-Saharan Africa,Sub-Saharan Africa
2018,China,United States,5867.99,China,Northern America
2018,India,Poland,5578.716,Central and Southern Asia,Europe
2018,Uganda,Pakistan,5351.943,Sub-Saharan Africa,Central and Southern Asia
2018,Burundi,Pakistan,4976.6553,Sub-Saharan Africa,Central and Southern Asia
2018,China,Senegal,4865.015,China,Sub-Saharan Africa
2018,Kenya,Nigeria,4707.593,Sub-Saharan Africa,Sub-Saharan Africa
2018,Kenya,Saudi Arabia,4679.548,Sub-Saharan Africa,Northern Africa and Western Asia
2018,China,"China, Hong Kong SAR",4638.7295,China,China
2018,China,Algeria,4559.12,China,Northern Africa and Western Asia
2018,Sri Lanka,United Arab Emirates,4386.106,Central and Southern Asia,Northern Africa and Western Asia
2018,Sri Lanka,"Other Asia, nes",4382.512,Central and Southern Asia,
2018,Zimbabwe,Mozambique,4371.13,Sub-Saharan Africa,Sub-Saharan Africa
2018,Sri Lanka,Jordan,4367.88,Central and Southern Asia,Northern Africa and Western Asia
2018,Sri Lanka,Saudi Arabia,4305.378,Central and Southern Asia,Northern Africa and Western Asia
2018,United Kingdom,Ireland,4294.922,Europe,Europe
2018,India,Sri Lanka,4291.575,Central and Southern Asia,Central and Southern Asia
2018,Malawi,United States,4246.1123,Sub-Saharan Africa,Northern America
2018,Sri Lanka,"China, Hong Kong SAR",4239.571,Central and Southern Asia,China
2018,China,Cameroon,4158.1646,China,Sub-Saharan Africa
2018,Kenya,Iran,4145.777,Sub-Saharan Africa,Central and Southern Asia
2018,Malawi,Singapore,3973.6,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China)
2018,Sri Lanka,Germany,3937.1243,Central and Southern Asia,Europe
2018,China,Gambia,3916.4194,China,Sub-Saharan Africa
2018,United States,Canada,3868.3403,Northern America,Northern America
2018,Pakistan,Afghanistan,3840.611,Central and Southern Asia,Central and Southern Asia
2018,Argentina,Chile,3833.9116,Latin America and the Caribbean,Latin America and the Caribbean
2018,India,"Other Asia, nes",3784.9421,Central and Southern Asia,
2018,India,Ukraine,3748.3042,Central and Southern Asia,Europe
2018,Sri Lanka,United States,3674.136,Central and Southern Asia,Northern America
2018,Russian Federation,Kazakhstan,3673.498,Europe,Central and Southern Asia
2018,India,Tunisia,3666.68,Central and Southern Asia,Northern Africa and Western Asia
2018,China,Russian Federation,3652.4888,China,Europe
2018,United Arab Emirates,Egypt,3571.7874,Northern Africa and Western Asia,Northern Africa and Western Asia
2018,Kenya,Somalia,3545.582,Sub-Saharan Africa,Sub-Saharan Africa
2018,China,Japan,3507.8706,China,Eastern and South-Eastern Asia (excl. China)
2018,China,Niger,3506.3472,China,Sub-Saharan Africa
2018,India,Iraq,3467.703,Central and Southern Asia,Northern Africa and Western Asia
2018,Tanzania,Pakistan,3410.248,Sub-Saharan Africa,Central and Southern Asia
2018,Russian Federation,Belarus,3327.18,Europe,Europe
2018,India,Japan,3286.4097,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2018,Poland,United Kingdom,3228.9084,Europe,Europe
2018,United Kingdom,Canada,3204.538,Europe,Northern America
2018,India,Malaysia,3187.6497,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2018,Vietnam,Russian Federation,3180.0347,Eastern and South-Eastern Asia (excl. China),Europe
2018,China,Guinea,3171.02,China,Sub-Saharan Africa
2018,Kenya,Jordan,3118.7158,Sub-Saharan Africa,Northern Africa and Western Asia
2018,Kenya,Turkey,3110.7747,Sub-Saharan Africa,Northern Africa and Western Asia
