Year,Exporter,Importer,Weight,Exporter_region,Import_region
2011,Brazil,United States,395157.75,Latin America and the Caribbean,Northern America
2011,Brazil,Germany,371253.3,Latin America and the Caribbean,Europe
2011,Vietnam,"Areas, nes",246804.1,Eastern and South-Eastern Asia (excl. China),
2011,Colombia,United States,185537.47,Latin America and the Caribbean,Northern America
2011,Vietnam,Germany,168156.39,Eastern and South-Eastern Asia (excl. China),Europe
2011,Vietnam,United States,162683.19,Eastern and South-Eastern Asia (excl. China),Northern America
2011,Brazil,Italy,156806.64,Latin America and the Caribbean,Europe
2011,Brazil,Japan,134209.19,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2011,Guatemala,United States,96990.805,Latin America and the Caribbean,Northern America
2011,Vietnam,Italy,88689.97,Eastern and South-Eastern Asia (excl. China),Europe
2011,Peru,Germany,85263.38,Latin America and the Caribbean,Europe
2011,Vietnam,Spain,74469.32,Eastern and South-Eastern Asia (excl. China),Europe
2011,United States,Canada,71041.58,Northern America,Northern America
2011,Honduras,Germany,69913.78,Latin America and the Caribbean,Europe
2011,Mexico,United States,66788.734,Latin America and the Caribbean,Northern America
2011,India,Italy,63936.027,Central and Southern Asia,Europe
2011,Peru,United States,63582.395,Latin America and the Caribbean,Northern America
2011,Indonesia,Japan,60626.367,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2011,Colombia,Japan,59734.72,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2011,Germany,United States,58334.75,Europe,Northern America
2011,Brazil,Belgium,56197.46,Latin America and the Caribbean,Europe
2011,Germany,Poland,54462.863,Europe,Europe
2011,Vietnam,Japan,51742.6,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2011,Brazil,Spain,51730.75,Latin America and the Caribbean,Europe
2011,Brazil,France,51366.508,Latin America and the Caribbean,Europe
2011,Indonesia,United States,51024.566,Eastern and South-Eastern Asia (excl. China),Northern America
2011,Vietnam,Belgium,48333.656,Eastern and South-Eastern Asia (excl. China),Europe
2011,India,Germany,42161.387,Central and Southern Asia,Europe
2011,Costa Rica,United States,41287.344,Latin America and the Caribbean,Northern America
2011,Honduras,Belgium,39231.402,Latin America and the Caribbean,Europe
2011,Peru,Belgium,38915.004,Latin America and the Caribbean,Europe
2011,Guatemala,Japan,38132.16,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2011,El Salvador,United States,38096.875,Latin America and the Caribbean,Northern America
2011,Brazil,Sweden,37478.72,Latin America and the Caribbean,Europe
2011,Nicaragua,United States,36743.48,Latin America and the Caribbean,Northern America
2011,Indonesia,Germany,35666.83,Eastern and South-Eastern Asia (excl. China),Europe
2011,Honduras,United States,35496.6,Latin America and the Caribbean,Northern America
2011,Vietnam,"Korea, Republic",35171.45,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2011,Ethiopia,Germany,35028.62,Sub-Saharan Africa,Europe
2011,Uganda,Germany,34635.312,Sub-Saharan Africa,Europe
2011,Vietnam,United Kingdom,33372.11,Eastern and South-Eastern Asia (excl. China),Europe
2011,Colombia,Canada,32746.969,Latin America and the Caribbean,Northern America
2011,Papua New Guinea,Germany,32209.195,Oceania (excl. Australia and New Zealand),Europe
2011,Canada,United States,31462.578,Northern America,Northern America
2011,El Salvador,Germany,31262.281,Latin America and the Caribbean,Europe
2011,Cote d'Ivoire,Algeria,30852.387,Sub-Saharan Africa,Northern Africa and Western Asia
2011,Vietnam,Algeria,30437.621,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2011,Vietnam,Russian Federation,30388.926,Eastern and South-Eastern Asia (excl. China),Europe
2011,Brazil,Canada,30201.68,Latin America and the Caribbean,Northern America
2011,Ecuador,Colombia,29551.465,Latin America and the Caribbean,Latin America and the Caribbean
2011,Brazil,Finland,29145.162,Latin America and the Caribbean,Europe
2011,Vietnam,China,28629.41,Eastern and South-Eastern Asia (excl. China),China
2011,Brazil,Switzerland,28172.02,Latin America and the Caribbean,Europe
2011,Brazil,Argentina,27848.63,Latin America and the Caribbean,Latin America and the Caribbean
2011,Germany,Poland,27552.207,Europe,Europe
