Year,Exporter,Importer,Weight,Exporter_region,Import_region
2005,Brazil,United States,274895.0,Latin America and the Caribbean,Northern America
2005,Colombia,United States,262102.23,Latin America and the Caribbean,Northern America
2005,Brazil,Germany,258062.31,Latin America and the Caribbean,Europe
2005,Brazil,Italy,148039.1,Latin America and the Caribbean,Europe
2005,Ethiopia,"Areas, nes",129389.91,Sub-Saharan Africa,
2005,Brazil,Japan,108595.33,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2005,Indonesia,United States,99314.05,Eastern and South-Eastern Asia (excl. China),Northern America
2005,Guatemala,United States,99027.11,Latin America and the Caribbean,Northern America
2005,Colombia,Japan,91752.78,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2005,Vietnam,United States,89598.42,Eastern and South-Eastern Asia (excl. China),Northern America
2005,Vietnam,Germany,88522.14,Eastern and South-Eastern Asia (excl. China),Europe
2005,Colombia,Germany,86176.37,Latin America and the Caribbean,Europe
2005,Indonesia,Germany,81746.07,Eastern and South-Eastern Asia (excl. China),Europe
2005,Vietnam,"Areas, nes",75828.03,Eastern and South-Eastern Asia (excl. China),
2005,Costa Rica,United States,68518.664,Latin America and the Caribbean,Northern America
2005,Germany,United States,67423.53,Europe,Northern America
2005,Brazil,France,58738.812,Latin America and the Caribbean,Europe
2005,Cote d'Ivoire,Algeria,58169.305,Sub-Saharan Africa,Northern Africa and Western Asia
2005,Vietnam,Spain,54879.305,Eastern and South-Eastern Asia (excl. China),Europe
2005,Mexico,United States,53958.305,Latin America and the Caribbean,Northern America
2005,Indonesia,Japan,53212.83,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2005,India,Italy,48594.684,Central and Southern Asia,Europe
2005,Peru,Germany,45485.08,Latin America and the Caribbean,Europe
2005,Brazil,Sweden,45146.79,Latin America and the Caribbean,Europe
2005,Brazil,Spain,45056.75,Latin America and the Caribbean,Europe
2005,Vietnam,Italy,45025.758,Eastern and South-Eastern Asia (excl. China),Europe
2005,Brazil,Belgium,44766.117,Latin America and the Caribbean,Europe
2005,Colombia,Canada,44403.695,Latin America and the Caribbean,Northern America
2005,Honduras,Germany,43299.145,Latin America and the Caribbean,Europe
2005,Ethiopia,Germany,42240.816,Sub-Saharan Africa,Europe
2005,Germany,Austria,39274.523,Europe,Europe
2005,United States,Canada,34783.14,Northern America,Northern America
2005,Belgium,France,34042.54,Europe,Europe
2005,Peru,United States,33323.613,Latin America and the Caribbean,Northern America
2005,Brazil,Netherlands,31548.305,Latin America and the Caribbean,Europe
2005,Ethiopia,Japan,30130.578,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China)
2005,Brazil,Argentina,29985.371,Latin America and the Caribbean,Latin America and the Caribbean
2005,Indonesia,Italy,29725.465,Eastern and South-Eastern Asia (excl. China),Europe
2005,Colombia,Belgium,29301.871,Latin America and the Caribbean,Europe
2005,Papua New Guinea,Germany,28700.2,Oceania (excl. Australia and New Zealand),Europe
2005,Belgium,France,28484.238,Europe,Europe
2005,Brazil,Switzerland,27894.814,Latin America and the Caribbean,Europe
2005,Brazil,Finland,27616.396,Latin America and the Caribbean,Europe
2005,Vietnam,United Kingdom,26167.102,Eastern and South-Eastern Asia (excl. China),Europe
2005,Honduras,United States,26156.25,Latin America and the Caribbean,Northern America
2005,El Salvador,United States,25796.95,Latin America and the Caribbean,Northern America
2005,El Salvador,Germany,24201.41,Latin America and the Caribbean,Europe
2005,Indonesia,Algeria,23607.719,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2005,Guatemala,Germany,23539.965,Latin America and the Caribbean,Europe
2005,Brazil,Greece,23371.352,Latin America and the Caribbean,Europe
2005,Vietnam,Poland,23185.41,Eastern and South-Eastern Asia (excl. China),Europe
2005,Brazil,Slovenia,22992.324,Latin America and the Caribbean,Europe
2005,Colombia,Italy,22836.582,Latin America and the Caribbean,Europe
2005,Vietnam,France,21584.768,Eastern and South-Eastern Asia (excl. China),Europe
2005,Vietnam,Japan,21495.264,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2005,Nicaragua,United States,20818.922,Latin America and the Caribbean,Northern America
2005,Austria,Germany,20536.627,Europe,Europe
2005,Vietnam,"Korea, Republic",20441.592,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2005,Colombia,United Kingdom,19825.41,Latin America and the Caribbean,Europe
2005,Papua New Guinea,United States,19290.621,Oceania (excl. Australia and New Zealand),Northern America
2005,United States,Canada,18954.213,Northern America,Northern America
2005,Brazil,Canada,18898.438,Latin America and the Caribbean,Northern America
2005,Indonesia,India,18821.824,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2005,Guatemala,Canada,18804.924,Latin America and the Caribbean,Northern America
2005,Uganda,Switzerland,18723.299,Sub-Saharan Africa,Europe
2005,Uganda,Netherlands,18481.89,Sub-Saharan Africa,Europe
2005,Indonesia,United Kingdom,18362.791,Eastern and South-Eastern Asia (excl. China),Europe
2005,Canada,United States,17860.715,Northern America,Northern America
2005,Belgium,Netherlands,17737.867,Europe,Europe
