,Exporter,Importer,Exporter_region,Import_region,Weight
8514,Turkey,Yemen,Northern Africa and Western Asia,Northern Africa and Western Asia,2.981
8515,Mauritania,Mali,Sub-Saharan Africa,Sub-Saharan Africa,2.977
8516,Mexico,Libya,Latin America and the Caribbean,Northern Africa and Western Asia,2.976
8517,Nicaragua,Madagascar,Latin America and the Caribbean,Sub-Saharan Africa,2.9726
8518,Rwanda,Guinea,Sub-Saharan Africa,Sub-Saharan Africa,2.9699999999999998
8519,Singapore,Senegal,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,2.966
8520,Guyana,Czech Republic,Latin America and the Caribbean,Europe,2.959
8521,Venezuela,Bosnia Herzegovina,Latin America and the Caribbean,Europe,2.957
8522,Bolivia,Israel,Latin America and the Caribbean,Northern Africa and Western Asia,2.9550242
8523,"Congo, Democratic Republic",Bosnia Herzegovina,Sub-Saharan Africa,Europe,2.952
8524,Japan,Northern Mariana Islands,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),2.95
8525,Ukraine,Nigeria,Europe,Sub-Saharan Africa,2.945
8526,Albania,Bosnia Herzegovina,Europe,Europe,2.934628
8527,Cuba,Chile,Latin America and the Caribbean,Latin America and the Caribbean,2.93418
8528,Norway,Faeroe Islands,Europe,Europe,2.92571664
8529,Thailand,Yemen,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,2.925
8530,United Kingdom,"Congo, Republic",Europe,Sub-Saharan Africa,2.923
8531,Czech Republic,Mongolia,Europe,Eastern and South-Eastern Asia (excl. China),2.9229411396000002
8532,Ukraine,Qatar,Europe,Northern Africa and Western Asia,2.9202000000000004
8533,Lebanon,Peru,Northern Africa and Western Asia,Latin America and the Caribbean,2.9068856
8534,Philippines,Portugal,Eastern and South-Eastern Asia (excl. China),Europe,2.904
8535,Turkey,Portugal,Northern Africa and Western Asia,Europe,2.903706257
8536,Indonesia,Comoros,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,2.903
8537,South Africa,Rwanda,Sub-Saharan Africa,Sub-Saharan Africa,2.902262707
8538,Albania,Norway,Europe,Europe,2.9
8539,Malaysia,Gambia,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,2.899
8540,Sri Lanka,"China, Macao SAR",Central and Southern Asia,China,2.8970000000000002
8541,Iraq,Bosnia Herzegovina,Northern Africa and Western Asia,Europe,2.897
8542,Slovakia,"Korea, Republic",Europe,Eastern and South-Eastern Asia (excl. China),2.8958999999999997
8543,Poland,Oman,Europe,Northern Africa and Western Asia,2.8920208329999997
8544,Australia,Mexico,Australia and New Zealand,Latin America and the Caribbean,2.891
8545,Russian Federation,Greece,Europe,Europe,2.88328
8546,Zimbabwe,Botswana,Sub-Saharan Africa,Sub-Saharan Africa,2.8807089
8547,Indonesia,Cook Islands,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),2.879
8548,Switzerland,Angola,Europe,Sub-Saharan Africa,2.87436591
8549,Nicaragua,Moldova,Latin America and the Caribbean,Europe,2.871
8550,South Africa,Albania,Sub-Saharan Africa,Europe,2.87
8551,Mauritius,Netherlands,Sub-Saharan Africa,Europe,2.867
8552,Spain,Uzbekistan,Europe,Central and Southern Asia,2.865
8553,Canada,Sri Lanka,Northern America,Central and Southern Asia,2.862
8554,Netherlands,Bahamas,Europe,Latin America and the Caribbean,2.862
8555,New Zealand,Vietnam,Australia and New Zealand,Eastern and South-Eastern Asia (excl. China),2.85834565
8556,Malaysia,Cote d'Ivoire,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,2.858
8557,Indonesia,Belize,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,2.847
8558,Guam,"China, Hong Kong SAR",Oceania (excl. Australia and New Zealand),China,2.846
8559,Finland,Luxembourg,Europe,Europe,2.844145028
8560,Sweden,Georgia,Europe,Northern Africa and Western Asia,2.843119
8561,Yemen,Malaysia,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),2.84
8562,Turkey,Togo,Northern Africa and Western Asia,Sub-Saharan Africa,2.836
8563,Togo,Luxembourg,Sub-Saharan Africa,Europe,2.83
8564,Cote d'Ivoire,Gabon,Sub-Saharan Africa,Sub-Saharan Africa,2.815
8565,Luxembourg,Czech Republic,Europe,Europe,2.814905
8566,Australia,Sudan,Australia and New Zealand,Northern Africa and Western Asia,2.8139999999999996
8567,United Arab Emirates,Venezuela,Northern Africa and Western Asia,Latin America and the Caribbean,2.809
8568,Philippines,Vietnam,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),2.808172
8569,Mali,Gambia,Sub-Saharan Africa,Sub-Saharan Africa,2.796
8570,Honduras,Kuwait,Latin America and the Caribbean,Northern Africa and Western Asia,2.79066
8571,North Macedonia,Croatia,Europe,Europe,2.7859999999999996
8572,Chile,Nicaragua,Latin America and the Caribbean,Latin America and the Caribbean,2.78437
8573,Portugal,Georgia,Europe,Northern Africa and Western Asia,2.780689
8574,Portugal,Costa Rica,Europe,Latin America and the Caribbean,2.776
