,Exporter,Importer,Exporter_region,Import_region,Weight
0,Brazil,Germany,Latin America and the Caribbean,Europe,6256841.64452641
1,Brazil,United States,Latin America and the Caribbean,Northern America,6209853.4340037
2,Colombia,United States,Latin America and the Caribbean,Northern America,5033046.5993694
3,Vietnam,Germany,Eastern and South-Eastern Asia (excl. China),Europe,3287749.8854615698
4,Brazil,Italy,Latin America and the Caribbean,Europe,3103032.9423154
5,Vietnam,United States,Eastern and South-Eastern Asia (excl. China),Northern America,2848002.588316
6,Brazil,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),2361604.32639081
7,Guatemala,United States,Latin America and the Caribbean,Northern America,2085879.7517195
8,Mexico,United States,Latin America and the Caribbean,Northern America,1693864.9633254
9,Vietnam,Spain,Eastern and South-Eastern Asia (excl. China),Europe,1653831.54463746
10,Vietnam,Italy,Eastern and South-Eastern Asia (excl. China),Europe,1600258.74682061
11,United States,Canada,Northern America,Northern America,1577092.921902
12,Colombia,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),1460019.793369
13,Indonesia,United States,Eastern and South-Eastern Asia (excl. China),Northern America,1400534.63441196
14,Brazil,Belgium,Latin America and the Caribbean,Europe,1359658.02869229
15,Colombia,Germany,Latin America and the Caribbean,Europe,1303014.8887619239
16,Honduras,Germany,Latin America and the Caribbean,Europe,1300035.6416747
17,Peru,Germany,Latin America and the Caribbean,Europe,1218935.2337140776
18,Germany,United States,Europe,Northern America,1170829.6908655
19,India,Italy,Central and Southern Asia,Europe,1148522.18566464
20,Germany,Poland,Europe,Europe,1122555.81780717
21,Costa Rica,United States,Latin America and the Caribbean,Northern America,1080707.526325
22,Brazil,France,Latin America and the Caribbean,Europe,1077867.622993435
23,Vietnam,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),1068176.84075566
24,Cote d'Ivoire,Algeria,Sub-Saharan Africa,Northern Africa and Western Asia,1068159.711998
25,Peru,United States,Latin America and the Caribbean,Northern America,1054167.7035435701
26,Indonesia,Germany,Eastern and South-Eastern Asia (excl. China),Europe,1045589.7266096144
27,Indonesia,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),998928.4832147
28,Brazil,Spain,Latin America and the Caribbean,Europe,944223.81766223
29,Nicaragua,United States,Latin America and the Caribbean,Northern America,916499.3501633
30,Honduras,United States,Latin America and the Caribbean,Northern America,906901.8050623
31,Belgium,France,Europe,Europe,842095.7272159
32,Colombia,Canada,Latin America and the Caribbean,Northern America,827039.7594274953
33,Brazil,Sweden,Latin America and the Caribbean,Europe,785541.9732420107
34,Vietnam,Belgium,Eastern and South-Eastern Asia (excl. China),Europe,770556.2002322
35,Germany,Austria,Europe,Europe,753201.1350189
36,Germany,Netherlands,Europe,Europe,748557.8629696
37,Canada,United States,Northern America,Northern America,735082.44210295
38,Vietnam,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,712160.94103274
39,Ethiopia,Germany,Sub-Saharan Africa,Europe,681815.8678566
40,Germany,France,Europe,Europe,661277.4523059999
41,Brazil,Canada,Latin America and the Caribbean,Northern America,642395.560777095
42,Belgium,Netherlands,Europe,Europe,632432.3827346
43,Vietnam,France,Eastern and South-Eastern Asia (excl. China),Europe,629822.57497655
44,Vietnam,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,593210.0524449
45,Brazil,United Kingdom,Latin America and the Caribbean,Europe,587465.1920562
46,Vietnam,Algeria,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,574400.106035
47,Brazil,Finland,Latin America and the Caribbean,Europe,573523.8415606
48,Brazil,Argentina,Latin America and the Caribbean,Latin America and the Caribbean,564131.14016947
49,Colombia,Belgium,Latin America and the Caribbean,Europe,562946.0313565
50,Vietnam,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),555534.8409635
51,El Salvador,United States,Latin America and the Caribbean,Northern America,551870.09473841
52,Indonesia,Italy,Eastern and South-Eastern Asia (excl. China),Europe,550707.555
53,Guatemala,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),543548.613833
54,Germany,Spain,Europe,Europe,528682.19910413
55,Brazil,Netherlands,Latin America and the Caribbean,Europe,528340.662083842
56,Uganda,Germany,Sub-Saharan Africa,Europe,519542.590412306
57,Ethiopia,Saudi Arabia,Sub-Saharan Africa,Northern Africa and Western Asia,516763.411126
58,Brazil,Switzerland,Latin America and the Caribbean,Europe,515789.0618873143
59,Brazil,Turkey,Latin America and the Caribbean,Northern Africa and Western Asia,507544.46231224004
60,Uganda,Italy,Sub-Saharan Africa,Europe,506141.8561
61,Papua New Guinea,Germany,Oceania (excl. Australia and New Zealand),Europe,498856.82057700003
62,India,Germany,Central and Southern Asia,Europe,490880.55708344
63,Vietnam,Poland,Eastern and South-Eastern Asia (excl. China),Europe,478835.23330785
64,Italy,Germany,Europe,Europe,473973.79359889997
65,Indonesia,Malaysia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),470742.11514606
66,Brazil,Greece,Latin America and the Caribbean,Europe,456084.819896795
67,Ethiopia,Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),423289.21589702
68,Honduras,Belgium,Latin America and the Caribbean,Europe,410830.1466
69,Brazil,Lebanon,Latin America and the Caribbean,Northern Africa and Western Asia,407796.63287126
70,Switzerland,France,Europe,Europe,399311.98074084404
71,Vietnam,India,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,397087.85730056
72,Vietnam,Malaysia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),393351.04118178
73,Germany,Belgium,Europe,Europe,391043.9773257
74,El Salvador,Germany,Latin America and the Caribbean,Europe,384929.22539896
75,Brazil,Syria,Latin America and the Caribbean,Northern Africa and Western Asia,381967.43299999996
76,Guatemala,Germany,Latin America and the Caribbean,Europe,376428.34272247
77,Guatemala,Canada,Latin America and the Caribbean,Northern America,376363.636264243
78,Vietnam,China,Eastern and South-Eastern Asia (excl. China),China,375323.9256249
79,Colombia,United Kingdom,Latin America and the Caribbean,Europe,367736.297549456
80,Brazil,"Korea, Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),363428.0296900944
81,Uganda,Switzerland,Sub-Saharan Africa,Europe,363155.395701116
82,Italy,France,Europe,Europe,360417.0190156
83,Vietnam,Philippines,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),358864.4438045
84,Brazil,Russian Federation,Latin America and the Caribbean,Europe,354044.46314015
85,Vietnam,Switzerland,Eastern and South-Eastern Asia (excl. China),Europe,348174.33970992
86,Brazil,Slovenia,Latin America and the Caribbean,Europe,347652.521624
87,Colombia,Italy,Latin America and the Caribbean,Europe,321200.04520568997
88,Brazil,Norway,Latin America and the Caribbean,Europe,314188.282749174
89,Colombia,Spain,Latin America and the Caribbean,Europe,310466.82917859
90,Indonesia,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,308018.65002786403
91,Vietnam,Thailand,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),304999.438692014
92,Colombia,"Korea, Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),301456.42309803
93,Uganda,Spain,Sub-Saharan Africa,Europe,288383.708132
94,Vietnam,Netherlands,Eastern and South-Eastern Asia (excl. China),Europe,287726.87902746
95,Ethiopia,United States,Sub-Saharan Africa,Northern America,287192.0984772
96,Peru,Belgium,Latin America and the Caribbean,Europe,280981.872080432
97,Cameroon,Italy,Sub-Saharan Africa,Europe,272747.52
98,Germany,Italy,Europe,Europe,267520.04166582
99,China,Germany,China,Europe,266352.45761552
100,Papua New Guinea,United States,Oceania (excl. Australia and New Zealand),Northern America,261387.888515
101,Vietnam,Indonesia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),260772.2122557
102,Cote d'Ivoire,France,Sub-Saharan Africa,Europe,259652.4101494
103,Vietnam,Ecuador,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,258485.4329
104,Indonesia,Algeria,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,255628.0372
105,Honduras,Italy,Latin America and the Caribbean,Europe,254096.7687
106,Kenya,Germany,Sub-Saharan Africa,Europe,243437.70666636
107,Vietnam,Australia,Eastern and South-Eastern Asia (excl. China),Australia and New Zealand,242435.57948825
108,Colombia,Finland,Latin America and the Caribbean,Europe,239647.5435271
109,Brazil,Denmark,Latin America and the Caribbean,Europe,236010.351034806
110,Netherlands,France,Europe,Europe,232999.854916946
111,Indonesia,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,232858.58811833
112,Colombia,Sweden,Latin America and the Caribbean,Europe,231038.50688031001
113,Honduras,France,Latin America and the Caribbean,Europe,231005.78194
114,Brazil,Bosnia Herzegovina,Latin America and the Caribbean,Europe,229093.9058
115,Indonesia,Egypt,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,226294.8144982
116,Germany,United Kingdom,Europe,Europe,226101.2603635
117,Colombia,France,Latin America and the Caribbean,Europe,225646.29874768
118,Cote d'Ivoire,Spain,Sub-Saharan Africa,Europe,221054.0597
119,Brazil,Australia,Latin America and the Caribbean,Australia and New Zealand,219050.61071706002
120,Guatemala,Italy,Latin America and the Caribbean,Europe,218422.98053924998
121,Germany,Slovakia,Europe,Europe,210187.8815310399
122,Peru,Colombia,Latin America and the Caribbean,Latin America and the Caribbean,208720.95143
123,Uganda,Sudan,Sub-Saharan Africa,Northern Africa and Western Asia,208218.226842
124,Germany,Luxembourg,Europe,Europe,204074.98662959
125,Tanzania,Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),203831.5868606
126,Indonesia,India,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,200387.76342032
127,India,Belgium,Central and Southern Asia,Europe,199369.50846527
128,Brazil,Austria,Latin America and the Caribbean,Europe,198677.5305245
129,Tanzania,Germany,Sub-Saharan Africa,Europe,197131.88957238
130,Netherlands,Germany,Europe,Europe,197040.21794809
131,Uganda,Belgium,Sub-Saharan Africa,Europe,196736.41826
132,Vietnam,Mexico,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,196315.272682
133,Ethiopia,France,Sub-Saharan Africa,Europe,195865.068070167
134,Brazil,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,193762.739656
135,Germany,Czech Republic,Europe,Europe,192421.71954053998
136,Indonesia,Singapore,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),190839.66788788
137,Austria,Germany,Europe,Europe,189147.463415326
138,Costa Rica,Germany,Latin America and the Caribbean,Europe,188892.3513063
139,Nicaragua,Germany,Latin America and the Caribbean,Europe,184413.559370836
140,Papua New Guinea,Australia,Oceania (excl. Australia and New Zealand),Australia and New Zealand,183467.67020734
141,India,Spain,Central and Southern Asia,Europe,181948.75198248
142,Sweden,Denmark,Europe,Europe,181784.619338028
143,Italy,Austria,Europe,Europe,180436.579315031
144,Peru,Sweden,Latin America and the Caribbean,Europe,176909.732949601
145,Indonesia,Morocco,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,175731.3003
146,Brazil,Poland,Latin America and the Caribbean,Europe,172809.3986634
147,Belgium,Germany,Europe,Europe,172075.9568483
148,Poland,Germany,Europe,Europe,171498.63601543268
149,Indonesia,Belgium,Eastern and South-Eastern Asia (excl. China),Europe,167777.663972294
150,Brazil,Serbia,Latin America and the Caribbean,Europe,167212.1193
151,Germany,Hungary,Europe,Europe,165362.58520948
152,Poland,Czech Republic,Europe,Europe,165201.890935553
153,Peru,Canada,Latin America and the Caribbean,Northern America,164278.13681153
154,Colombia,Switzerland,Latin America and the Caribbean,Europe,163389.3251673581
155,Colombia,Norway,Latin America and the Caribbean,Europe,163206.1214224
156,Kenya,United States,Sub-Saharan Africa,Northern America,162310.06665249998
157,Uganda,United States,Sub-Saharan Africa,Northern America,161954.1079905
158,Brazil,Chile,Latin America and the Caribbean,Latin America and the Caribbean,161493.95901063
159,Uganda,Singapore,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),158216.05523
160,Cote d'Ivoire,Italy,Sub-Saharan Africa,Europe,157505.3995
161,Honduras,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),156599.163
162,Ecuador,Colombia,Latin America and the Caribbean,Latin America and the Caribbean,156452.54134
163,Mexico,Germany,Latin America and the Caribbean,Europe,156157.83678449
164,Vietnam,Portugal,Eastern and South-Eastern Asia (excl. China),Europe,154838.9701
165,Tanzania,Italy,Sub-Saharan Africa,Europe,152475.411208
166,France,Belgium,Europe,Europe,152271.6115321
167,Guatemala,Belgium,Latin America and the Caribbean,Europe,150840.37495
168,Brazil,Croatia,Latin America and the Caribbean,Europe,146800.84350000002
169,Colombia,Netherlands,Latin America and the Caribbean,Europe,146216.634884975
170,India,Switzerland,Central and Southern Asia,Europe,145558.285835925
171,Ethiopia,Italy,Sub-Saharan Africa,Europe,145236.54475
172,Germany,Denmark,Europe,Europe,145124.19172774
173,Honduras,"Korea, Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),141563.98281000002
174,Peru,"Korea, Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),141455.922369054
175,Honduras,Netherlands,Latin America and the Caribbean,Europe,141347.232015017
176,Italy,United States,Europe,Northern America,140584.3742286
177,Germany,Romania,Europe,Europe,140063.19275878
178,Ethiopia,Belgium,Sub-Saharan Africa,Europe,139433.934976
179,United States,Japan,Northern America,Eastern and South-Eastern Asia (excl. China),139413.16052879998
180,Brazil,Portugal,Latin America and the Caribbean,Europe,138443.88413319
181,Brazil,Jordan,Latin America and the Caribbean,Northern Africa and Western Asia,137835.53894341
182,Netherlands,Belgium,Europe,Europe,137637.81053949
183,Vietnam,South Africa,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,136825.4430566
184,Germany,Sweden,Europe,Europe,134056.6641775
185,Spain,Portugal,Europe,Europe,133401.033533
186,Italy,United Kingdom,Europe,Europe,130948.44248997
187,Vietnam,Singapore,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),129542.66139666
188,Peru,France,Latin America and the Caribbean,Europe,128843.995869984
189,Brazil,Tunisia,Latin America and the Caribbean,Northern Africa and Western Asia,127794.1224
190,Vietnam,Canada,Eastern and South-Eastern Asia (excl. China),Northern America,126478.50421757
191,Guatemala,Switzerland,Latin America and the Caribbean,Europe,124096.53589300001
192,Guinea,Morocco,Sub-Saharan Africa,Northern Africa and Western Asia,120409.12403
193,Netherlands,United Kingdom,Europe,Europe,118711.8552799
194,Indonesia,South Africa,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,118192.690238
195,Peru,Netherlands,Latin America and the Caribbean,Europe,117445.351274004
196,India,Jordan,Central and Southern Asia,Northern Africa and Western Asia,117400.4772848
197,Germany,Switzerland,Europe,Europe,117130.80273849
198,Honduras,Sweden,Latin America and the Caribbean,Europe,115779.376163
199,United States,Germany,Northern America,Europe,113650.46370968
200,Indonesia,France,Eastern and South-Eastern Asia (excl. China),Europe,112458.9360371
201,Cameroon,France,Sub-Saharan Africa,Europe,112302.89542323
202,Vietnam,Austria,Eastern and South-Eastern Asia (excl. China),Europe,111477.41703224
203,Vietnam,Morocco,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,110465.3658
204,Cote d'Ivoire,Belgium,Sub-Saharan Africa,Europe,110264.76274
205,Nicaragua,Belgium,Latin America and the Caribbean,Europe,110213.90563468
206,Uganda,Netherlands,Sub-Saharan Africa,Europe,109756.80354722
207,Poland,Ukraine,Europe,Europe,109272.07830571
208,Vietnam,Romania,Eastern and South-Eastern Asia (excl. China),Europe,109093.960034
209,Switzerland,Israel,Europe,Northern Africa and Western Asia,108755.82893844
210,Spain,Switzerland,Europe,Europe,108603.244516053
211,Lao PDR,Vietnam,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),107718.6943436
212,Switzerland,Germany,Europe,Europe,106808.78944509
213,Honduras,United Kingdom,Latin America and the Caribbean,Europe,106180.67
214,Indonesia,Poland,Eastern and South-Eastern Asia (excl. China),Europe,105886.3185503
215,Indonesia,Georgia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,105807.97356
216,Brazil,Cuba,Latin America and the Caribbean,Latin America and the Caribbean,105564.1057
217,El Salvador,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),105324.1934107
218,Honduras,Spain,Latin America and the Caribbean,Europe,105252.93817556
219,Slovakia,Hungary,Europe,Europe,104896.88444528
220,Kenya,Sweden,Sub-Saharan Africa,Europe,103988.6402024
221,Portugal,Spain,Europe,Europe,103886.184692074
222,Indonesia,Bulgaria,Eastern and South-Eastern Asia (excl. China),Europe,103801.50765804
223,Costa Rica,Belgium,Latin America and the Caribbean,Europe,103723.323644
224,Uganda,India,Sub-Saharan Africa,Central and Southern Asia,101885.83714
225,Italy,Greece,Europe,Europe,100626.37130977999
226,Costa Rica,Italy,Latin America and the Caribbean,Europe,100217.03370825
227,Colombia,Australia,Latin America and the Caribbean,Australia and New Zealand,100087.53015033
228,Netherlands,Sweden,Europe,Europe,99683.12287217
229,Indonesia,Philippines,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),99163.76449341999
230,France,Italy,Europe,Europe,98291.35916128
231,Peru,United Kingdom,Latin America and the Caribbean,Europe,98041.631196
232,Vietnam,Israel,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,97735.0066346
233,Indonesia,Australia,Eastern and South-Eastern Asia (excl. China),Australia and New Zealand,97506.49290656
234,Italy,Russian Federation,Europe,Europe,97286.5388958
235,Burundi,Germany,Sub-Saharan Africa,Europe,96431.03444
236,Honduras,Canada,Latin America and the Caribbean,Northern America,93579.4998360765
237,Peru,Italy,Latin America and the Caribbean,Europe,92808.504043628
238,Spain,France,Europe,Europe,92348.3635164
239,Mexico,Belgium,Latin America and the Caribbean,Europe,92332.906723
240,Uganda,Poland,Sub-Saharan Africa,Europe,91861.142737
241,Indonesia,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),91826.20113883
242,Indonesia,China,Eastern and South-Eastern Asia (excl. China),China,91232.89532079
243,France,Spain,Europe,Europe,90566.00677632
244,Belgium,Italy,Europe,Europe,90120.21078210999
245,Indonesia,Romania,Eastern and South-Eastern Asia (excl. China),Europe,89580.742
246,Mexico,Canada,Latin America and the Caribbean,Northern America,89071.768818827
247,Nicaragua,Venezuela,Latin America and the Caribbean,Latin America and the Caribbean,88989.045
248,Uganda,United Kingdom,Sub-Saharan Africa,Europe,87984.4295614
249,Vietnam,Tunisia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,87440.86885
250,Finland,Estonia,Europe,Europe,87371.441845992
251,Indonesia,Thailand,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),87232.58342987299
252,Uganda,France,Sub-Saharan Africa,Europe,86908.036605
253,Papua New Guinea,Japan,Oceania (excl. Australia and New Zealand),Eastern and South-Eastern Asia (excl. China),86744.169284
254,Nicaragua,Canada,Latin America and the Caribbean,Northern America,86632.7855169
255,Ecuador,United States,Latin America and the Caribbean,Northern America,86379.7247044
256,Vietnam,Egypt,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,85169.86499259999
257,Nicaragua,Spain,Latin America and the Caribbean,Europe,85127.12380681
258,Costa Rica,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),85063.66350244
259,Czech Republic,Slovakia,Europe,Europe,84883.670210444
260,India,Slovenia,Central and Southern Asia,Europe,83814.6376
261,Italy,Switzerland,Europe,Europe,83514.51734035
262,India,Australia,Central and Southern Asia,Australia and New Zealand,83440.45603611
263,Mexico,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),83015.49066827999
264,Vietnam,Bulgaria,Eastern and South-Eastern Asia (excl. China),Europe,82723.940978
265,Brazil,Venezuela,Latin America and the Caribbean,Latin America and the Caribbean,80384.586
266,India,Russian Federation,Central and Southern Asia,Europe,80149.58326123
267,Bulgaria,Romania,Europe,Europe,79944.110582035
268,India,Greece,Central and Southern Asia,Europe,79461.8997
269,Jamaica,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),79379.43472612
270,Guatemala,Netherlands,Latin America and the Caribbean,Europe,79370.74090269
271,Germany,Lithuania,Europe,Europe,79302.81241703
272,China,United States,China,Northern America,78412.2747548
273,India,United States,Central and Southern Asia,Northern America,78392.6044705
274,United Kingdom,Ireland,Europe,Europe,78133.7899097
275,Italy,Spain,Europe,Europe,77280.2348932
276,India,Kuwait,Central and Southern Asia,Northern Africa and Western Asia,76835.14291626
277,Uganda,Portugal,Sub-Saharan Africa,Europe,76780.71415
278,Tanzania,United States,Sub-Saharan Africa,Northern America,76469.472049
279,Indonesia,Spain,Eastern and South-Eastern Asia (excl. China),Europe,76260.052783237
280,Belgium,United Kingdom,Europe,Europe,75555.1260898
281,Indonesia,Armenia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,75029.41709
282,Cameroon,Belgium,Sub-Saharan Africa,Europe,74986.1878
283,Kenya,Belgium,Sub-Saharan Africa,Europe,73684.427858
284,Rwanda,Switzerland,Sub-Saharan Africa,Europe,73665.78446
285,Sweden,United States,Europe,Northern America,73340.33300289999
286,Cameroon,Germany,Sub-Saharan Africa,Europe,73240.6794602
287,Honduras,Finland,Latin America and the Caribbean,Europe,72985.85859999999
288,Honduras,Switzerland,Latin America and the Caribbean,Europe,72545.260945078
289,Mexico,Switzerland,Latin America and the Caribbean,Europe,72341.93716138
290,India,France,Central and Southern Asia,Europe,72145.267405548
291,Thailand,United States,Eastern and South-Eastern Asia (excl. China),Northern America,72039.07827448
292,Vietnam,Greece,Eastern and South-Eastern Asia (excl. China),Europe,71929.379032
293,Mexico,France,Latin America and the Caribbean,Europe,71781.940046737
294,Panama,United States,Latin America and the Caribbean,Northern America,71375.87612326
295,Brazil,Montenegro,Latin America and the Caribbean,Europe,71347.8064
296,France,Netherlands,Europe,Europe,71283.2626777
297,Cameroon,Portugal,Sub-Saharan Africa,Europe,70428.0147
298,El Salvador,Canada,Latin America and the Caribbean,Northern America,70225.46626126
299,India,Libya,Central and Southern Asia,Northern Africa and Western Asia,70120.3466
300,China,"China, Hong Kong SAR",China,China,69829.4373965
301,Italy,Australia,Europe,Australia and New Zealand,69425.9495885
302,Ethiopia,"Korea, Republic",Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),69037.491336408
303,Uganda,Morocco,Sub-Saharan Africa,Northern Africa and Western Asia,68212.57863999999
304,"Congo, Democratic Republic",Italy,Sub-Saharan Africa,Europe,68011.3264
305,Vietnam,Serbia,Eastern and South-Eastern Asia (excl. China),Europe,67908.8799
306,Indonesia,Canada,Eastern and South-Eastern Asia (excl. China),Northern America,67821.81143785
307,Brazil,North Macedonia,Latin America and the Caribbean,Europe,67609.8937
308,Spain,United Kingdom,Europe,Europe,66625.2950696
309,Guatemala,Norway,Latin America and the Caribbean,Europe,66606.1276
310,Nicaragua,Italy,Latin America and the Caribbean,Europe,66571.877167
311,India,Portugal,Central and Southern Asia,Europe,66141.8766
312,Brazil,Algeria,Latin America and the Caribbean,Northern Africa and Western Asia,66065.6096729
313,India,Croatia,Central and Southern Asia,Europe,64618.40998523
314,Yemen,Saudi Arabia,Northern Africa and Western Asia,Northern Africa and Western Asia,64577.306769
315,United States,"Korea, Republic",Northern America,Eastern and South-Eastern Asia (excl. China),64470.93870153
316,Rwanda,Germany,Sub-Saharan Africa,Europe,63781.9999743
317,Brazil,Colombia,Latin America and the Caribbean,Latin America and the Caribbean,63766.1022507
318,Luxembourg,Netherlands,Europe,Europe,63472.07428318
319,Guatemala,France,Latin America and the Caribbean,Europe,63320.950832999995
320,Peru,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),62951.718026229995
321,Italy,Romania,Europe,Europe,62894.054254840004
322,Switzerland,United States,Europe,Northern America,62779.40505822
323,Guatemala,Finland,Latin America and the Caribbean,Europe,61732.7253
324,Brazil,Malaysia,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),61691.04229835
325,Colombia,Israel,Latin America and the Caribbean,Northern Africa and Western Asia,61515.930201
326,Poland,Slovakia,Europe,Europe,60873.75385013
327,El Salvador,Belgium,Latin America and the Caribbean,Europe,60627.896830247
328,Italy,Bulgaria,Europe,Europe,60318.1314547
329,Colombia,Denmark,Latin America and the Caribbean,Europe,59850.365395547
330,Germany,Russian Federation,Europe,Europe,59407.965454269
331,Costa Rica,Netherlands,Latin America and the Caribbean,Europe,59385.693591275
332,Tanzania,Belgium,Sub-Saharan Africa,Europe,58800.8543944
333,Czech Republic,Poland,Europe,Europe,58501.6386427188
334,France,Germany,Europe,Europe,58076.725970563995
335,Brazil,Czech Republic,Latin America and the Caribbean,Europe,57219.491262961
336,Czech Republic,France,Europe,Europe,57205.15042599
337,Nicaragua,Finland,Latin America and the Caribbean,Europe,57055.2071
338,Honduras,"Korea, Democratic People’s Republic",Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),56975.0973
339,Brazil,United Arab Emirates,Latin America and the Caribbean,Northern Africa and Western Asia,56637.469785
340,Burundi,Switzerland,Sub-Saharan Africa,Europe,56546.70845
341,Netherlands,Finland,Europe,Europe,56313.700378085
342,Mexico,Spain,Latin America and the Caribbean,Europe,55916.680765544
343,India,Saudi Arabia,Central and Southern Asia,Northern Africa and Western Asia,55898.7448093
344,Costa Rica,Canada,Latin America and the Caribbean,Northern America,55891.379715425
345,Italy,Israel,Europe,Northern Africa and Western Asia,55460.5342628
346,Ethiopia,Sweden,Sub-Saharan Africa,Europe,55424.787259531
347,Estonia,Russian Federation,Europe,Europe,55297.237188
348,Ethiopia,Sudan,Sub-Saharan Africa,Northern Africa and Western Asia,54729.214406039995
349,Italy,Canada,Europe,Northern America,54668.233395100004
350,Germany,Australia,Europe,Australia and New Zealand,53961.63519517
351,Costa Rica,Switzerland,Latin America and the Caribbean,Europe,53634.797997404996
352,Vietnam,Czech Republic,Eastern and South-Eastern Asia (excl. China),Europe,53394.7419546
353,El Salvador,France,Latin America and the Caribbean,Europe,53329.85009526
354,Spain,Germany,Europe,Europe,52790.04331847
355,Colombia,Russian Federation,Latin America and the Caribbean,Europe,52442.72958496
356,Kenya,Finland,Sub-Saharan Africa,Europe,52256.8837345
357,Italy,Netherlands,Europe,Europe,52200.32590182
358,Ireland,United Kingdom,Europe,Europe,52126.53841557
359,Hungary,Slovakia,Europe,Europe,52038.902059859
360,Netherlands,Spain,Europe,Europe,51761.71167429
361,Rwanda,United States,Sub-Saharan Africa,Northern America,51428.13864295
362,Cote d'Ivoire,United Kingdom,Sub-Saharan Africa,Europe,51226.91046300001
363,Germany,Ukraine,Europe,Europe,51183.515350671
364,Germany,Greece,Europe,Europe,50997.9653637
365,United States,Mexico,Northern America,Latin America and the Caribbean,50816.6882498
366,Cameroon,Algeria,Sub-Saharan Africa,Northern Africa and Western Asia,50620.71615
367,Italy,Poland,Europe,Europe,50288.14161213
368,Ethiopia,United Kingdom,Sub-Saharan Africa,Europe,50063.131524314
369,Ethiopia,Switzerland,Sub-Saharan Africa,Europe,49788.6809118541
370,Indonesia,Switzerland,Eastern and South-Eastern Asia (excl. China),Europe,49750.865985000004
371,Indonesia,Ecuador,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,49699.1939
372,Nicaragua,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),49597.56602255
