Year,Exporter,Importer,Weight,Exporter_region,Import_region
2014,Kenya,Pakistan,96152.83,Sub-Saharan Africa,Central and Southern Asia
2014,Kenya,Egypt,90934.56,Sub-Saharan Africa,Northern Africa and Western Asia
2014,"Areas, nes",Afghanistan,79813.36,,Central and Southern Asia
2014,Sri Lanka,Iraq,77760.555,Central and Southern Asia,Northern Africa and Western Asia
2014,China,Morocco,51284.797,China,Northern Africa and Western Asia
2014,Argentina,United States,50472.867,Latin America and the Caribbean,Northern America
2014,Kenya,United Kingdom,46788.35,Sub-Saharan Africa,Europe
2014,Uganda,Kenya,46624.51,Sub-Saharan Africa,Sub-Saharan Africa
2014,Free Zones,United Arab Emirates,41356.5,,Northern Africa and Western Asia
2014,India,Russian Federation,38283.08,Central and Southern Asia,Europe
2014,Sri Lanka,Russian Federation,34961.08,Central and Southern Asia,Europe
2014,Kenya,Sudan,31565.488,Sub-Saharan Africa,Northern Africa and Western Asia
2014,Brazil,Uruguay,30740.82,Latin America and the Caribbean,Latin America and the Caribbean
2014,Kenya,Russian Federation,26587.889,Sub-Saharan Africa,Europe
2014,Sri Lanka,Iran,24324.312,Central and Southern Asia,Central and Southern Asia
2014,Argentina,Syria,23766.84,Latin America and the Caribbean,Northern Africa and Western Asia
2014,Kenya,Yemen,22625.705,Sub-Saharan Africa,Northern Africa and Western Asia
2014,Singapore,United Kingdom,20488.133,Eastern and South-Eastern Asia (excl. China),Europe
2014,India,Iran,19909.809,Central and Southern Asia,Central and Southern Asia
2014,India,United Kingdom,17081.727,Central and Southern Asia,Europe
2014,India,Pakistan,17066.027,Central and Southern Asia,Central and Southern Asia
2014,China,Uzbekistan,16224.57,China,Central and Southern Asia
2014,Malawi,South Africa,15390.734,Sub-Saharan Africa,Sub-Saharan Africa
2014,Vietnam,Pakistan,15381.754,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2014,Sri Lanka,Iraq,15240.715,Central and Southern Asia,Northern Africa and Western Asia
2014,Sri Lanka,Turkey,14802.688,Central and Southern Asia,Northern Africa and Western Asia
2014,Rwanda,Kenya,14364.927,Sub-Saharan Africa,Sub-Saharan Africa
2014,Kenya,Kazakhstan,13962.053,Sub-Saharan Africa,Central and Southern Asia
2014,Tanzania,Kenya,13467.971,Sub-Saharan Africa,Sub-Saharan Africa
2014,Sri Lanka,Libya,12349.449,Central and Southern Asia,Northern Africa and Western Asia
2014,United Arab Emirates,Saudi Arabia,11803.32,Northern Africa and Western Asia,Northern Africa and Western Asia
2014,China,Japan,11536.104,China,Eastern and South-Eastern Asia (excl. China)
2014,Vietnam,"Other Asia, nes",11212.691,Eastern and South-Eastern Asia (excl. China),
2014,Sri Lanka,Russian Federation,11183.961,Central and Southern Asia,Europe
2014,India,Kazakhstan,11161.113,Central and Southern Asia,Central and Southern Asia
2014,Vietnam,"Other Asia, nes",11097.341,Eastern and South-Eastern Asia (excl. China),
2014,China,Algeria,11060.469,China,Northern Africa and Western Asia
2014,Vietnam,Russian Federation,10853.157,Eastern and South-Eastern Asia (excl. China),Europe
2014,China,Russian Federation,10796.957,China,Europe
2014,India,United States,10493.393,Central and Southern Asia,Northern America
2014,Sri Lanka,Turkey,10453.283,Central and Southern Asia,Northern Africa and Western Asia
2014,Argentina,Chile,10325.714,Latin America and the Caribbean,Latin America and the Caribbean
2014,India,United Arab Emirates,10300.177,Central and Southern Asia,Northern Africa and Western Asia
2014,Indonesia,Malaysia,10039.67,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2014,Sri Lanka,United Arab Emirates,9980.882,Central and Southern Asia,Northern Africa and Western Asia
2014,China,Mauritania,9708.877,China,Sub-Saharan Africa
2014,Burundi,Kenya,9687.352,Sub-Saharan Africa,Sub-Saharan Africa
2014,Rwanda,Kenya,9664.577,Sub-Saharan Africa,Sub-Saharan Africa
2014,Sri Lanka,Azerbaijan,9495.48,Central and Southern Asia,Northern Africa and Western Asia
2014,China,Afghanistan,9484.459,China,Central and Southern Asia
2014,China,Togo,9391.865,China,Sub-Saharan Africa
2014,China,Germany,9237.137,China,Europe
2014,Uganda,Kenya,9203.765,Sub-Saharan Africa,Sub-Saharan Africa
2014,Indonesia,Russian Federation,8836.605,Eastern and South-Eastern Asia (excl. China),Europe
2014,Malawi,United Kingdom,8819.617,Sub-Saharan Africa,Europe
2014,Rwanda,Pakistan,8566.944,Sub-Saharan Africa,Central and Southern Asia
2014,Sri Lanka,Syria,8442.131,Central and Southern Asia,Northern Africa and Western Asia
2014,Vietnam,United States,8334.237,Eastern and South-Eastern Asia (excl. China),Northern America
