Exporter,Importer,Exporter_region,Import_region,Weight,Exporter_color,Importer_color,Source,Target
Uganda,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,737496.9102,gold,gold,9,0
Uganda,Morocco,Sub-Saharan Africa,Northern Africa and Western Asia,84.3,gold,#8c5c35,9,16
Uganda,Others (Importer),Sub-Saharan Africa,Northern Africa and Western Asia,26741.639024621,gold,#8c5c35,9,19
Uganda,Pakistan,Sub-Saharan Africa,Central and Southern Asia,49736.7014,gold,#f28e2c,9,11
Uganda,Russian Federation,Sub-Saharan Africa,Europe,1408.582,gold,#4e79a7,9,10
Uganda,United Arab Emirates,Sub-Saharan Africa,Northern Africa and Western Asia,4015.84702,gold,#8c5c35,9,7
Uganda,United Kingdom,Sub-Saharan Africa,Europe,7457.2151792,gold,#4e79a7,9,12
Uganda,United States,Sub-Saharan Africa,Northern America,192.257,gold,purple,9,13
United Arab Emirates,Afghanistan,Northern Africa and Western Asia,Central and Southern Asia,6891.309604,#8c5c35,#f28e2c,7,17
United Arab Emirates,Egypt,Northern Africa and Western Asia,Northern Africa and Western Asia,12905.981841300001,#8c5c35,#8c5c35,7,14
United Arab Emirates,Iran,Northern Africa and Western Asia,Central and Southern Asia,223535.133321,#8c5c35,#f28e2c,7,15
United Arab Emirates,Kenya,Northern Africa and Western Asia,Sub-Saharan Africa,332.50851811,#8c5c35,gold,7,0
United Arab Emirates,Morocco,Northern Africa and Western Asia,Northern Africa and Western Asia,910.6966898,#8c5c35,#8c5c35,7,16
United Arab Emirates,Others (Importer),Northern Africa and Western Asia,Northern Africa and Western Asia,559821.1026084184,#8c5c35,#8c5c35,7,19
United Arab Emirates,Pakistan,Northern Africa and Western Asia,Central and Southern Asia,5020.5431366,#8c5c35,#f28e2c,7,11
United Arab Emirates,Russian Federation,Northern Africa and Western Asia,Europe,69148.0372207,#8c5c35,#4e79a7,7,10
United Arab Emirates,United Kingdom,Northern Africa and Western Asia,Europe,14791.7365962,#8c5c35,#4e79a7,7,12
United Arab Emirates,United States,Northern Africa and Western Asia,Northern America,2273.8378229,#8c5c35,purple,7,13
Vietnam,Afghanistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,189121.233,#e15759,#f28e2c,6,17
Vietnam,Egypt,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,7052.3777263,#e15759,#8c5c35,6,14
Vietnam,Iran,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,6213.38003,#e15759,#f28e2c,6,15
Vietnam,Kenya,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,2995.56098,#e15759,gold,6,0
Vietnam,Morocco,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,265.113814,#e15759,#8c5c35,6,16
Vietnam,Others (Importer),Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),676495.1538265797,#e15759,#e15759,6,19
Vietnam,Pakistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,273295.438655,#e15759,#f28e2c,6,11
Vietnam,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,213914.29460906,#e15759,#4e79a7,6,10
Vietnam,United Arab Emirates,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,39952.838081,#e15759,#8c5c35,6,7
Vietnam,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,13637.66241885,#e15759,#4e79a7,6,12
Vietnam,United States,Eastern and South-Eastern Asia (excl. China),Northern America,83583.05455828,#e15759,purple,6,13
