Exporter,Importer,Exporter_region,Import_region,Weight,Exporter_color,Importer_color,Source,Target
Peru,United States,Latin America and the Caribbean,Northern America,1054167.7035435701,#59a14f,purple,7,10
Uganda,Belgium,Sub-Saharan Africa,Europe,196736.41826,gold,#4e79a7,9,15
Uganda,Canada,Sub-Saharan Africa,Northern America,10076.834803,gold,purple,9,17
Uganda,France,Sub-Saharan Africa,Europe,86908.036605,gold,#4e79a7,9,14
Uganda,Germany,Sub-Saharan Africa,Europe,519542.590412306,gold,#4e79a7,9,11
Uganda,Italy,Sub-Saharan Africa,Europe,506141.8561,gold,#4e79a7,9,12
Uganda,Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),16799.12813,gold,#e15759,9,13
Uganda,Netherlands,Sub-Saharan Africa,Europe,109756.80354722,gold,#4e79a7,9,19
Uganda,Others (Importer),Sub-Saharan Africa,Europe,1533182.6544497067,gold,#4e79a7,9,21
Uganda,Spain,Sub-Saharan Africa,Europe,288383.708132,gold,#4e79a7,9,16
Uganda,United Kingdom,Sub-Saharan Africa,Europe,87984.4295614,gold,#4e79a7,9,18
Uganda,United States,Sub-Saharan Africa,Northern America,161954.1079905,gold,purple,9,10
Vietnam,Belgium,Eastern and South-Eastern Asia (excl. China),Europe,770556.2002322,#e15759,#4e79a7,1,15
Vietnam,Canada,Eastern and South-Eastern Asia (excl. China),Northern America,126478.50421757,#e15759,purple,1,17
Vietnam,France,Eastern and South-Eastern Asia (excl. China),Europe,629822.57497655,#e15759,#4e79a7,1,14
Vietnam,Germany,Eastern and South-Eastern Asia (excl. China),Europe,3287749.8854615698,#e15759,#4e79a7,1,11
Vietnam,Italy,Eastern and South-Eastern Asia (excl. China),Europe,1600258.74682061,#e15759,#4e79a7,1,12
Vietnam,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),1068176.84075566,#e15759,#e15759,1,13
Vietnam,Netherlands,Eastern and South-Eastern Asia (excl. China),Europe,287726.87902746,#e15759,#4e79a7,1,19
Vietnam,Others (Importer),Eastern and South-Eastern Asia (excl. China),Europe,7427979.437347835,#e15759,#4e79a7,1,21
Vietnam,Spain,Eastern and South-Eastern Asia (excl. China),Europe,1653831.54463746,#e15759,#4e79a7,1,16
Vietnam,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,712160.94103274,#e15759,#4e79a7,1,18
Vietnam,United States,Eastern and South-Eastern Asia (excl. China),Northern America,2848002.588316,#e15759,purple,1,10
