Year,Exporter,Importer,Weight,Exporter_region,Import_region
2019,Kenya,Pakistan,165353.34,Sub-Saharan Africa,Central and Southern Asia
2019,Kenya,Egypt,80575.95,Sub-Saharan Africa,Northern Africa and Western Asia
2019,China,Morocco,69264.984,China,Northern Africa and Western Asia
2019,Kenya,United Kingdom,56842.734,Sub-Saharan Africa,Europe
2019,India,Iran,51687.508,Central and Southern Asia,Central and Southern Asia
2019,India,Russian Federation,45133.42,Central and Southern Asia,Europe
2019,Argentina,United States,44735.266,Latin America and the Caribbean,Northern America
2019,Vietnam,Afghanistan,37967.9,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2019,Argentina,Syria,31886.2,Latin America and the Caribbean,Northern Africa and Western Asia
2019,Brazil,Uruguay,30630.82,Latin America and the Caribbean,Latin America and the Caribbean
2019,Uganda,Kenya,28436.277,Sub-Saharan Africa,Sub-Saharan Africa
2019,Kenya,United Arab Emirates,27294.506,Sub-Saharan Africa,Northern Africa and Western Asia
2019,Vietnam,Pakistan,23720.271,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2019,Sri Lanka,Russian Federation,23508.61,Central and Southern Asia,Europe
2019,China,Uzbekistan,22240.516,China,Central and Southern Asia
2019,Sri Lanka,Iraq,20854.2,Central and Southern Asia,Northern Africa and Western Asia
2019,Kenya,Sudan,20619.37,Sub-Saharan Africa,Northern Africa and Western Asia
2019,Sri Lanka,Turkey,19360.807,Central and Southern Asia,Northern Africa and Western Asia
2019,Kenya,Afghanistan,19092.5,Sub-Saharan Africa,Central and Southern Asia
2019,Sri Lanka,Iraq,17525.834,Central and Southern Asia,Northern Africa and Western Asia
2019,Sri Lanka,Iran,17194.469,Central and Southern Asia,Central and Southern Asia
2019,Kenya,Russian Federation,16660.205,Sub-Saharan Africa,Europe
2019,India,United Arab Emirates,15687.395,Central and Southern Asia,Northern Africa and Western Asia
2019,China,Mauritania,15661.137,China,Sub-Saharan Africa
2019,Kenya,Yemen,14649.318,Sub-Saharan Africa,Northern Africa and Western Asia
2019,Vietnam,Russian Federation,14615.979,Eastern and South-Eastern Asia (excl. China),Europe
2019,Rwanda,Pakistan,13712.487,Sub-Saharan Africa,Central and Southern Asia
2019,India,United Kingdom,13108.396,Central and Southern Asia,Europe
2019,India,China,13014.672,Central and Southern Asia,China
2019,Kenya,Afghanistan,12684.855,Sub-Saharan Africa,Central and Southern Asia
2019,United Arab Emirates,Iran,12664.004,Northern Africa and Western Asia,Central and Southern Asia
2019,Malawi,United Kingdom,12323.894,Sub-Saharan Africa,Europe
2019,Kenya,Kazakhstan,12304.088,Sub-Saharan Africa,Central and Southern Asia
2019,Sri Lanka,Libya,12113.177,Central and Southern Asia,Northern Africa and Western Asia
2019,Sri Lanka,China,11514.268,Central and Southern Asia,China
2019,Sri Lanka,Azerbaijan,11257.214,Central and Southern Asia,Northern Africa and Western Asia
2019,China,Algeria,11089.115,China,Northern Africa and Western Asia
2019,China,Mali,10990.513,China,Sub-Saharan Africa
2019,India,Germany,10691.871,Central and Southern Asia,Europe
2019,Vietnam,"Other Asia, nes",10486.392,Eastern and South-Eastern Asia (excl. China),
2019,Malawi,South Africa,10304.894,Sub-Saharan Africa,Sub-Saharan Africa
2019,United Arab Emirates,Iraq,10058.606,Northern Africa and Western Asia,Northern Africa and Western Asia
2019,China,Russian Federation,9966.174,China,Europe
2019,Sri Lanka,Turkey,9668.39,Central and Southern Asia,Northern Africa and Western Asia
2019,India,Kazakhstan,9511.789,Central and Southern Asia,Central and Southern Asia
2019,Vietnam,"Other Asia, nes",9134.953,Eastern and South-Eastern Asia (excl. China),
2019,Nepal,India,9085.804,Central and Southern Asia,Central and Southern Asia
2019,China,Ghana,9072.207,China,Sub-Saharan Africa
2019,China,Morocco,8983.428,China,Northern Africa and Western Asia
2019,Uganda,Kenya,8694.549,Sub-Saharan Africa,Sub-Saharan Africa
2019,Argentina,Chile,8457.585,Latin America and the Caribbean,Latin America and the Caribbean
2019,China,Togo,8344.857,China,Sub-Saharan Africa
2019,India,United States,8153.77,Central and Southern Asia,Northern America
2019,China,Senegal,8109.7144,China,Sub-Saharan Africa
2019,China,Germany,8096.197,China,Europe
2019,Tanzania,Kenya,8065.133,Sub-Saharan Africa,Sub-Saharan Africa
2019,Indonesia,Malaysia,8034.9307,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2019,China,Japan,7944.9697,China,Eastern and South-Eastern Asia (excl. China)
2019,United Arab Emirates,Saudi Arabia,7622.2437,Northern Africa and Western Asia,Northern Africa and Western Asia
2019,Kenya,Afghanistan,7388.99,Sub-Saharan Africa,Central and Southern Asia
2019,China,United States,7366.9517,China,Northern America
2019,Kenya,Poland,7054.42,Sub-Saharan Africa,Europe
2019,United Arab Emirates,Russian Federation,6936.5967,Northern Africa and Western Asia,Europe
2019,Zimbabwe,South Africa,6759.7627,Sub-Saharan Africa,Sub-Saharan Africa
2019,Sri Lanka,Japan,6696.958,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2019,Vietnam,Indonesia,6686.052,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2019,Sri Lanka,Chile,6420.616,Central and Southern Asia,Latin America and the Caribbean
2019,Uganda,Pakistan,6316.53,Sub-Saharan Africa,Central and Southern Asia
2019,Sri Lanka,Russian Federation,6275.7983,Central and Southern Asia,Europe
2019,India,Pakistan,6266.824,Central and Southern Asia,Central and Southern Asia
2019,Sri Lanka,Syria,6214.85,Central and Southern Asia,Northern Africa and Western Asia
2019,Tanzania,Pakistan,6158.7383,Sub-Saharan Africa,Central and Southern Asia
2019,Kenya,Saudi Arabia,6049.898,Sub-Saharan Africa,Northern Africa and Western Asia
2019,Indonesia,Russian Federation,6039.9014,Eastern and South-Eastern Asia (excl. China),Europe
2019,India,Poland,5969.6123,Central and Southern Asia,Europe
2019,China,"China, Hong Kong SAR",5902.893,China,China
2019,Zimbabwe,Mozambique,5833.45,Sub-Saharan Africa,Sub-Saharan Africa
2019,China,United States,5813.3076,China,Northern America
2019,Sri Lanka,United Arab Emirates,5803.189,Central and Southern Asia,Northern Africa and Western Asia
2019,China,Mali,5268.1133,China,Sub-Saharan Africa
2019,China,Gambia,5174.408,China,Sub-Saharan Africa
2019,China,Cameroon,5036.8545,China,Sub-Saharan Africa
2019,China,Turkmenistan,4871.411,China,Central and Southern Asia
2019,Burundi,Pakistan,4870.116,Sub-Saharan Africa,Central and Southern Asia
2019,United Kingdom,Ireland,4796.9033,Europe,Europe
2019,Vietnam,United States,4792.3076,Eastern and South-Eastern Asia (excl. China),Northern America
