Year,Exporter,Importer,Weight,Exporter_region,Import_region
2000,Kenya,Pakistan,58008.19,Sub-Saharan Africa,Central and Southern Asia
2000,Kenya,United Kingdom,53935.305,Sub-Saharan Africa,Europe
2000,India,Russian Federation,46531.816,Central and Southern Asia,Europe
2000,Kenya,Egypt,43326.414,Sub-Saharan Africa,Northern Africa and Western Asia
2000,India,Russian Federation,37718.184,Central and Southern Asia,Europe
2000,South Africa,United Kingdom,29831.414,Sub-Saharan Africa,Europe
2000,Sri Lanka,United Arab Emirates,29722.094,Central and Southern Asia,Northern Africa and Western Asia
2000,China,Morocco,26754.254,China,Northern Africa and Western Asia
2000,India,United Kingdom,25210.285,Central and Southern Asia,Europe
2000,Malawi,United Kingdom,23032.34,Sub-Saharan Africa,Europe
2000,Brazil,Uruguay,21721.148,Latin America and the Caribbean,Latin America and the Caribbean
2000,Sri Lanka,Russian Federation,21635.367,Central and Southern Asia,Europe
2000,Argentina,United States,17733.793,Latin America and the Caribbean,Northern America
2000,China,Japan,16956.496,China,Eastern and South-Eastern Asia (excl. China)
2000,Sri Lanka,Russian Federation,16507.572,Central and Southern Asia,Europe
2000,Sri Lanka,Syria,16280.291,Central and Southern Asia,Northern Africa and Western Asia
2000,China,Morocco,15989.162,China,Northern Africa and Western Asia
2000,Sri Lanka,Turkey,15987.416,Central and Southern Asia,Northern Africa and Western Asia
2000,Argentina,Syria,15924.89,Latin America and the Caribbean,Northern Africa and Western Asia
2000,Vietnam,Iraq,14655.0,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2000,China,Japan,13714.027,China,Eastern and South-Eastern Asia (excl. China)
2000,Indonesia,United Kingdom,13489.054,Eastern and South-Eastern Asia (excl. China),Europe
2000,Argentina,Brazil,13468.01,Latin America and the Caribbean,Latin America and the Caribbean
2000,Uganda,Kenya,13307.604,Sub-Saharan Africa,Sub-Saharan Africa
2000,Kenya,Afghanistan,13239.606,Sub-Saharan Africa,Central and Southern Asia
2000,Uganda,Kenya,12790.09,Sub-Saharan Africa,Sub-Saharan Africa
2000,India,United Arab Emirates,12724.431,Central and Southern Asia,Northern Africa and Western Asia
2000,Kenya,Former Sudan,11837.934,Sub-Saharan Africa,
2000,Sri Lanka,Iran,11441.423,Central and Southern Asia,Central and Southern Asia
2000,China,Uzbekistan,11191.46,China,Central and Southern Asia
2000,Indonesia,Pakistan,10912.619,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2000,Sri Lanka,United Arab Emirates,10396.487,Central and Southern Asia,Northern Africa and Western Asia
2000,Zimbabwe,South Africa,10319.199,Sub-Saharan Africa,Sub-Saharan Africa
2000,Sri Lanka,Libya,9984.016,Central and Southern Asia,Northern Africa and Western Asia
2000,Sri Lanka,United Kingdom,9638.81,Central and Southern Asia,Europe
2000,China,"China, Hong Kong SAR",9588.7,China,China
2000,Sri Lanka,Iraq,9282.749,Central and Southern Asia,Northern Africa and Western Asia
2000,Sri Lanka,Egypt,9135.94,Central and Southern Asia,Northern Africa and Western Asia
2000,"China, Hong Kong SAR",Japan,7958.5835,China,Eastern and South-Eastern Asia (excl. China)
2000,Sri Lanka,Japan,7951.741,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2000,China,Senegal,7838.576,China,Sub-Saharan Africa
2000,Tanzania,Kenya,7789.542,Sub-Saharan Africa,Sub-Saharan Africa
2000,Malawi,South Africa,7528.913,Sub-Saharan Africa,Sub-Saharan Africa
2000,China,Pakistan,7523.385,China,Central and Southern Asia
2000,India,Poland,7105.921,Central and Southern Asia,Europe
2000,Sri Lanka,Tunisia,7014.9004,Central and Southern Asia,Northern Africa and Western Asia
2000,Kenya,United Arab Emirates,6818.012,Sub-Saharan Africa,Northern Africa and Western Asia
2000,India,United Arab Emirates,6720.316,Central and Southern Asia,Northern Africa and Western Asia
2000,Indonesia,Iraq,6669.08,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2000,Kenya,Yemen,6652.446,Sub-Saharan Africa,Northern Africa and Western Asia
2000,Vietnam,"Other Asia, nes",6414.948,Eastern and South-Eastern Asia (excl. China),
2000,Indonesia,Malaysia,6367.252,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2000,India,Iraq,6291.452,Central and Southern Asia,Northern Africa and Western Asia
2000,India,Kazakhstan,6214.12,Central and Southern Asia,Central and Southern Asia
2000,Germany,Special Categories,5982.2,Europe,
2000,Indonesia,Netherlands,5801.36,Eastern and South-Eastern Asia (excl. China),Europe
2000,Sri Lanka,Chile,5576.6396,Central and Southern Asia,Latin America and the Caribbean
2000,Sri Lanka,Saudi Arabia,5456.812,Central and Southern Asia,Northern Africa and Western Asia
2000,Sri Lanka,Jordan,5437.7656,Central and Southern Asia,Northern Africa and Western Asia
2000,Sri Lanka,Syria,5164.426,Central and Southern Asia,Northern Africa and Western Asia
2000,China,France,5137.8433,China,Europe
2000,Indonesia,Germany,5094.705,Eastern and South-Eastern Asia (excl. China),Europe
2000,China,Nigeria,5054.6445,China,Sub-Saharan Africa
2000,Iran,Turkey,5037.756,Central and Southern Asia,Northern Africa and Western Asia
2000,Vietnam,Pakistan,4999.0,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2000,China,United States,4992.658,China,Northern America
2000,Iran,Uzbekistan,4987.422,Central and Southern Asia,Central and Southern Asia
2000,India,Germany,4929.1123,Central and Southern Asia,Europe
2000,Indonesia,Russian Federation,4925.9893,Eastern and South-Eastern Asia (excl. China),Europe
2000,Sri Lanka,Saudi Arabia,4908.1426,Central and Southern Asia,Northern Africa and Western Asia
2000,Argentina,Chile,4626.5244,Latin America and the Caribbean,Latin America and the Caribbean
2000,Malawi,United States,4565.238,Sub-Saharan Africa,Northern America
2000,Senegal,Mali,4554.979,Sub-Saharan Africa,Sub-Saharan Africa
2000,Indonesia,Australia,4436.225,Eastern and South-Eastern Asia (excl. China),Australia and New Zealand
2000,Kenya,United States,4374.777,Sub-Saharan Africa,Northern America
2000,Sri Lanka,Germany,4343.0996,Central and Southern Asia,Europe
2000,Georgia,Russian Federation,4314.3975,Northern Africa and Western Asia,Europe
2000,Sri Lanka,Ukraine,4153.981,Central and Southern Asia,Europe
2000,United Kingdom,Canada,4090.2012,Europe,Northern America
2000,Indonesia,United States,4080.3892,Eastern and South-Eastern Asia (excl. China),Northern America
2000,Sri Lanka,Pakistan,4066.705,Central and Southern Asia,Central and Southern Asia
2000,Argentina,Uruguay,4055.879,Latin America and the Caribbean,Latin America and the Caribbean
2000,India,Saudi Arabia,4019.219,Central and Southern Asia,Northern Africa and Western Asia
2000,China,Algeria,3954.4443,China,Northern Africa and Western Asia
2000,United Arab Emirates,Iran,3942.317,Northern Africa and Western Asia,Central and Southern Asia
2000,Kenya,Ireland,3910.3296,Sub-Saharan Africa,Europe
2000,Germany,United States,3905.536,Europe,Northern America
2000,Sri Lanka,Ukraine,3902.325,Central and Southern Asia,Europe
2000,United Kingdom,Belgium,3891.707,Europe,Europe
2000,India,United States,3781.3428,Central and Southern Asia,Northern America
2000,China,Germany,3753.5034,China,Europe
2000,China,Mauritania,3714.185,China,Sub-Saharan Africa
2000,China,United Kingdom,3706.099,China,Europe
2000,Indonesia,India,3517.7532,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2000,United Arab Emirates,Saudi Arabia,3467.0,Northern Africa and Western Asia,Northern Africa and Western Asia
2000,China,Gambia,3346.128,China,Sub-Saharan Africa
2000,Sri Lanka,United States,3288.4375,Central and Southern Asia,Northern America
2000,Brazil,Chile,3243.238,Latin America and the Caribbean,Latin America and the Caribbean
2000,Indonesia,Poland,3210.671,Eastern and South-Eastern Asia (excl. China),Europe
2000,Tanzania,United Kingdom,3167.6,Sub-Saharan Africa,Europe
2000,Malawi,Kenya,3105.357,Sub-Saharan Africa,Sub-Saharan Africa
2000,Malawi,Pakistan,3101.176,Sub-Saharan Africa,Central and Southern Asia
2000,Indonesia,Iran,3068.434,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2000,Kenya,Poland,2997.71,Sub-Saharan Africa,Europe
2000,United Kingdom,France,2993.3381,Europe,Europe
2000,India,Pakistan,2884.495,Central and Southern Asia,Central and Southern Asia
2000,Sri Lanka,"China, Hong Kong SAR",2858.2134,Central and Southern Asia,China
2000,Papua New Guinea,Australia,2829.785,Oceania (excl. Australia and New Zealand),Australia and New Zealand
2000,Argentina,United Kingdom,2827.2012,Latin America and the Caribbean,Europe
2000,China,Mali,2820.7869,China,Sub-Saharan Africa
2000,Malawi,Netherlands,2815.7373,Sub-Saharan Africa,Europe
2000,Sri Lanka,Turkey,2778.8276,Central and Southern Asia,Northern Africa and Western Asia
2000,Vietnam,Iraq,2757.0,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2000,India,Japan,2695.076,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2000,Argentina,Chile,2647.7517,Latin America and the Caribbean,Latin America and the Caribbean
2000,China,United States,2545.2708,China,Northern America
2000,China,Germany,2514.8735,China,Europe
2000,India,Iraq,2492.994,Central and Southern Asia,Northern Africa and Western Asia
2000,Tanzania,Pakistan,2481.327,Sub-Saharan Africa,Central and Southern Asia
2000,United Arab Emirates,Iran,2474.901,Northern Africa and Western Asia,Central and Southern Asia
2000,Zimbabwe,United Kingdom,2419.8594,Sub-Saharan Africa,Europe
2000,China,Poland,2394.1807,China,Europe
2000,China,Ghana,2374.2,China,Sub-Saharan Africa
2000,India,Poland,2366.271,Central and Southern Asia,Europe
2000,India,Liberia,2308.0,Central and Southern Asia,Sub-Saharan Africa
2000,Vietnam,Pakistan,2302.0,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2000,India,Ireland,2287.9028,Central and Southern Asia,Europe
2000,China,Afghanistan,2263.82,China,Central and Southern Asia
2000,Sri Lanka,Australia,2179.2944,Central and Southern Asia,Australia and New Zealand
2000,Indonesia,United Arab Emirates,2148.04,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2000,China,Togo,2133.7046,China,Sub-Saharan Africa
2000,Kenya,Somalia,2088.511,Sub-Saharan Africa,Sub-Saharan Africa
2000,Iran,Tajikistan,2036.903,Central and Southern Asia,Central and Southern Asia
2000,Belgium,France,2030.3895,Europe,Europe
2000,India,Saudi Arabia,1976.8949,Central and Southern Asia,Northern Africa and Western Asia
2000,Malawi,Egypt,1911.272,Sub-Saharan Africa,Northern Africa and Western Asia
2000,China,Russian Federation,1817.4868,China,Europe
2000,Sri Lanka,Iraq,1797.58,Central and Southern Asia,Northern Africa and Western Asia
2000,Vietnam,Poland,1790.0173,Eastern and South-Eastern Asia (excl. China),Europe
2000,China,Pakistan,1771.66,China,Central and Southern Asia
2000,Sri Lanka,Netherlands,1765.2866,Central and Southern Asia,Europe
2000,China,"China, Hong Kong SAR",1739.835,China,China
2000,China,Algeria,1726.325,China,Northern Africa and Western Asia
2000,China,Tunisia,1724.4885,China,Northern Africa and Western Asia
2000,Cote d'Ivoire,Mali,1709.6691,Sub-Saharan Africa,Sub-Saharan Africa
2000,China,Tunisia,1690.0157,China,Northern Africa and Western Asia
2000,Indonesia,Singapore,1689.492,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2000,United States,Canada,1655.3865,Northern America,Northern America
2000,United Kingdom,Australia,1646.8062,Europe,Australia and New Zealand
2000,Sri Lanka,Jordan,1631.4827,Central and Southern Asia,Northern Africa and Western Asia
2000,Kenya,Iran,1621.6104,Sub-Saharan Africa,Central and Southern Asia
2000,China,France,1613.0984,China,Europe
2000,Sri Lanka,Kuwait,1602.525,Central and Southern Asia,Northern Africa and Western Asia
2000,China,Japan,1600.3654,China,Eastern and South-Eastern Asia (excl. China)
2000,Vietnam,"Other Asia, nes",1574.383,Eastern and South-Eastern Asia (excl. China),
2000,Argentina,Germany,1561.9061,Latin America and the Caribbean,Europe
2000,Vietnam,Poland,1561.0,Eastern and South-Eastern Asia (excl. China),Europe
2000,Papua New Guinea,United Kingdom,1544.1,Oceania (excl. Australia and New Zealand),Europe
2000,Indonesia,Afghanistan,1537.843,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2000,Sri Lanka,Netherlands,1523.3563,Central and Southern Asia,Europe
2000,Indonesia,United Kingdom,1491.5968,Eastern and South-Eastern Asia (excl. China),Europe
2000,China,Turkmenistan,1489.0691,China,Central and Southern Asia
2000,United Arab Emirates,Turkmenistan,1487.083,Northern Africa and Western Asia,Central and Southern Asia
2000,Sri Lanka,India,1469.155,Central and Southern Asia,Central and Southern Asia
2000,India,Netherlands,1444.5166,Central and Southern Asia,Europe
2000,Kenya,India,1432.828,Sub-Saharan Africa,Central and Southern Asia
2000,India,Iran,1424.8082,Central and Southern Asia,Central and Southern Asia
2000,Germany,Netherlands,1408.2964,Europe,Europe
2000,United Kingdom,United States,1407.9395,Europe,Northern America
2000,China,Niger,1405.2778,China,Sub-Saharan Africa
2000,Kenya,Canada,1382.1896,Sub-Saharan Africa,Northern America
2000,Argentina,Lebanon,1378.0806,Latin America and the Caribbean,Northern Africa and Western Asia
2000,Malawi,Germany,1358.3469,Sub-Saharan Africa,Europe
2000,China,Russian Federation,1333.7634,China,Europe
2000,Belgium,Sweden,1329.8198,Europe,Europe
2000,United States,Canada,1324.1083,Northern America,Northern America
2000,Sri Lanka,South Africa,1307.2297,Central and Southern Asia,Sub-Saharan Africa
2000,Sri Lanka,Greece,1305.4584,Central and Southern Asia,Europe
2000,Sri Lanka,Canada,1277.3506,Central and Southern Asia,Northern America
2000,Bangladesh,India,1254.791,Central and Southern Asia,Central and Southern Asia
2000,United Kingdom,Ireland,1240.0546,Europe,Europe
2000,Netherlands,Germany,1238.8568,Europe,Europe
2000,Sri Lanka,Italy,1223.2396,Central and Southern Asia,Europe
2000,United Arab Emirates,Turkey,1207.379,Northern Africa and Western Asia,Northern Africa and Western Asia
