Year,Exporter,Importer,Weight,Exporter_region,Import_region
2000,Mexico,United States,208855.77,Latin America and the Caribbean,Northern America
2000,Colombia,United States,207043.31,Latin America and the Caribbean,Northern America
2000,Brazil,Germany,162492.47,Latin America and the Caribbean,Europe
2000,Guatemala,United States,160011.31,Latin America and the Caribbean,Northern America
2000,Brazil,United States,134132.55,Latin America and the Caribbean,Northern America
2000,Brazil,Italy,98902.766,Latin America and the Caribbean,Europe
2000,Colombia,Germany,93829.3,Latin America and the Caribbean,Europe
2000,Brazil,Japan,87229.17,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2000,Vietnam,Germany,81772.375,Eastern and South-Eastern Asia (excl. China),Europe
2000,Cote d'Ivoire,France,74010.13,Sub-Saharan Africa,Europe
2000,El Salvador,United States,73533.14,Latin America and the Caribbean,Northern America
2000,Colombia,Japan,71049.02,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2000,Indonesia,Japan,67790.06,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2000,Vietnam,Switzerland,62008.645,Eastern and South-Eastern Asia (excl. China),Europe
2000,Cote d'Ivoire,Algeria,61923.613,Sub-Saharan Africa,Northern Africa and Western Asia
2000,Vietnam,United States,59968.383,Eastern and South-Eastern Asia (excl. China),Northern America
2000,Brazil,France,55362.598,Latin America and the Caribbean,Europe
2000,Honduras,United States,53208.984,Latin America and the Caribbean,Northern America
2000,Costa Rica,United States,51757.895,Latin America and the Caribbean,Northern America
2000,Indonesia,Germany,46655.812,Eastern and South-Eastern Asia (excl. China),Europe
2000,Peru,United States,45446.42,Latin America and the Caribbean,Northern America
2000,Vietnam,United Kingdom,43280.92,Eastern and South-Eastern Asia (excl. China),Europe
2000,Vietnam,Italy,42783.85,Eastern and South-Eastern Asia (excl. China),Europe
2000,El Salvador,Germany,42289.523,Latin America and the Caribbean,Europe
2000,United States,Canada,41653.48,Northern America,Northern America
2000,Guatemala,Germany,40683.12,Latin America and the Caribbean,Europe
2000,Vietnam,Spain,40487.56,Eastern and South-Eastern Asia (excl. China),Europe
2000,Ethiopia,Germany,40080.914,Sub-Saharan Africa,Europe
2000,Peru,Germany,39866.4,Latin America and the Caribbean,Europe
2000,Germany,United States,39615.18,Europe,Northern America
2000,Brazil,Spain,35649.4,Latin America and the Caribbean,Europe
2000,Cameroon,Italy,35475.258,Sub-Saharan Africa,Europe
2000,Indonesia,United States,33196.85,Eastern and South-Eastern Asia (excl. China),Northern America
2000,Vietnam,Singapore,33140.156,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2000,Brazil,Belgium,33014.805,Latin America and the Caribbean,Europe
2000,Honduras,Germany,32597.244,Latin America and the Caribbean,Europe
2000,Nicaragua,United States,31901.133,Latin America and the Caribbean,Northern America
2000,Brazil,Sweden,31750.184,Latin America and the Caribbean,Europe
2000,Papua New Guinea,Germany,31585.7,Oceania (excl. Australia and New Zealand),Europe
2000,Brazil,Argentina,31378.188,Latin America and the Caribbean,Latin America and the Caribbean
2000,Vietnam,France,31240.31,Eastern and South-Eastern Asia (excl. China),Europe
2000,India,Italy,30335.574,Central and Southern Asia,Europe
2000,United States,Canada,29049.66,Northern America,Northern America
2000,Kenya,Germany,27831.424,Sub-Saharan Africa,Europe
2000,Colombia,Canada,27804.875,Latin America and the Caribbean,Northern America
2000,Guatemala,Japan,27271.617,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2000,India,Germany,27231.21,Central and Southern Asia,Europe
2000,Uganda,Switzerland,26897.41,Sub-Saharan Africa,Europe
