,Exporter,Importer,Exporter_region,Import_region,Weight
3854,France,Yemen,Europe,Northern Africa and Western Asia,36.779
3855,Austria,Japan,Europe,Eastern and South-Eastern Asia (excl. China),36.751734475
3856,Malawi,Uganda,Sub-Saharan Africa,Sub-Saharan Africa,36.672000000000004
3857,Italy,Luxembourg,Europe,Europe,36.670380273
3858,South Africa,Italy,Sub-Saharan Africa,Europe,36.64972563
3859,Belarus,Latvia,Europe,Europe,36.604771086
3860,Ireland,Malta,Europe,Europe,36.5908635
3861,Rwanda,Burundi,Sub-Saharan Africa,Sub-Saharan Africa,36.56504158
3862,Czech Republic,Oman,Europe,Northern Africa and Western Asia,36.547000000000004
3863,Papua New Guinea,El Salvador,Oceania (excl. Australia and New Zealand),Latin America and the Caribbean,36.519
3864,Myanmar,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,36.512949400000004
3865,Ireland,Brazil,Europe,Latin America and the Caribbean,36.497408
3866,Iran,Canada,Central and Southern Asia,Northern America,36.438328512
3867,Pakistan,New Zealand,Central and Southern Asia,Australia and New Zealand,36.43605109
3868,France,Thailand,Europe,Eastern and South-Eastern Asia (excl. China),36.425782405
3869,Slovenia,Hungary,Europe,Europe,36.4191299776
3870,Togo,Equatorial Guinea,Sub-Saharan Africa,Sub-Saharan Africa,36.4
3871,Italy,Algeria,Europe,Northern Africa and Western Asia,36.324554189
3872,Nigeria,Latvia,Sub-Saharan Africa,Europe,36.29
3873,Vietnam,Aruba,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,36.272
3874,Hungary,Croatia,Europe,Europe,36.2661598985
3875,Austria,Iran,Europe,Central and Southern Asia,36.228668000000006
3876,New Zealand,Niue,Australia and New Zealand,Oceania (excl. Australia and New Zealand),36.213
3877,"Korea, Republic",Kazakhstan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,36.198146746
3878,Jordan,Sweden,Northern Africa and Western Asia,Europe,36.12989743
3879,Poland,Luxembourg,Europe,Europe,36.073910599
3880,United Kingdom,Burkina Faso,Europe,Sub-Saharan Africa,36.068000000000005
3881,Ukraine,Turkey,Europe,Northern Africa and Western Asia,36.0539
3882,Papua New Guinea,Slovakia,Oceania (excl. Australia and New Zealand),Europe,36.0
3883,Djibouti,Saudi Arabia,Sub-Saharan Africa,Northern Africa and Western Asia,36.0
3884,Uganda,Yemen,Sub-Saharan Africa,Northern Africa and Western Asia,36.0
3885,South Africa,Saint Helena,Sub-Saharan Africa,Sub-Saharan Africa,35.99734
3886,France,Libya,Europe,Northern Africa and Western Asia,35.89286832
3887,"Congo, Democratic Republic",Finland,Sub-Saharan Africa,Europe,35.875
3888,Ukraine,Netherlands,Europe,Europe,35.738214552
3889,Sierra Leone,Guinea,Sub-Saharan Africa,Sub-Saharan Africa,35.729
3890,Rwanda,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa,35.713390000000004
3891,Thailand,Israel,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,35.702298
3892,Hungary,Canada,Europe,Northern America,35.674822732
3893,Bulgaria,Sri Lanka,Europe,Central and Southern Asia,35.645
3894,Russian Federation,South Africa,Europe,Sub-Saharan Africa,35.62788353855
3895,Qatar,Kyrgyzstan,Northern Africa and Western Asia,Central and Southern Asia,35.606
3896,Belgium,Austria,Europe,Europe,35.571130231
3897,Italy,Iceland,Europe,Europe,35.552593
3898,India,Saint Lucia,Central and Southern Asia,Latin America and the Caribbean,35.41102179
3899,Senegal,Cabo Verde,Sub-Saharan Africa,Sub-Saharan Africa,35.383166345
3900,Sweden,Italy,Europe,Europe,35.3790543097
3901,Poland,Georgia,Europe,Northern Africa and Western Asia,35.348593219
3902,Philippines,Bahrain,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,35.334669999999996
3903,Ukraine,Canada,Europe,Northern America,35.270126324
3904,Iran,Serbia,Central and Southern Asia,Europe,35.2614567
3905,Gabon,Pakistan,Sub-Saharan Africa,Central and Southern Asia,35.236
3906,Vietnam,Palau,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),35.235
3907,Czech Republic,Finland,Europe,Europe,35.227445009
3908,Indonesia,Moldova,Eastern and South-Eastern Asia (excl. China),Europe,35.213095
3909,Nepal,United Kingdom,Central and Southern Asia,Europe,35.20282458
3910,United States,Sierra Leone,Northern America,Sub-Saharan Africa,35.175290000000004
3911,Sri Lanka,Bosnia Herzegovina,Central and Southern Asia,Europe,35.1528723
3912,Malaysia,Qatar,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,35.1448536
3913,Guinea,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,35.14
3914,Vietnam,Bosnia Herzegovina,Eastern and South-Eastern Asia (excl. China),Europe,35.035
3915,Ecuador,El Salvador,Latin America and the Caribbean,Latin America and the Caribbean,35.00286
3916,South Africa,Madagascar,Sub-Saharan Africa,Sub-Saharan Africa,34.974336697
3917,Pakistan,Ireland,Central and Southern Asia,Europe,34.9176529
3918,Thailand,Iraq,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,34.908958
3919,"Korea, Republic",Cambodia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),34.861493015
3920,Rwanda,"Congo, Democratic Republic",Sub-Saharan Africa,Sub-Saharan Africa,34.861000000000004
3921,Algeria,Mali,Northern Africa and Western Asia,Sub-Saharan Africa,34.86
3922,Moldova,Syria,Europe,Northern Africa and Western Asia,34.65
3923,Vietnam,Mozambique,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,34.603117000000005
3924,China,Djibouti,China,Sub-Saharan Africa,34.595
3925,Japan,Guam,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),34.575
3926,Malawi,Argentina,Sub-Saharan Africa,Latin America and the Caribbean,34.4975
3927,India,Mozambique,Central and Southern Asia,Sub-Saharan Africa,34.460833459999996
3928,Madagascar,France,Sub-Saharan Africa,Europe,34.3610096553
3929,Russian Federation,Greece,Europe,Europe,34.353174128
3930,Ireland,Latvia,Europe,Europe,34.352869
3931,Sweden,Spain,Europe,Europe,34.294510866
3932,Netherlands,"Congo, Democratic Republic",Europe,Sub-Saharan Africa,34.256307077
3933,China,Rwanda,China,Sub-Saharan Africa,34.191184
3934,Zimbabwe,Malawi,Sub-Saharan Africa,Sub-Saharan Africa,34.171696106
3935,Netherlands,Bosnia Herzegovina,Europe,Europe,34.156275127
3936,United States,Slovakia,Northern America,Europe,34.103136920000004
3937,Qatar,Kuwait,Northern Africa and Western Asia,Northern Africa and Western Asia,34.055
3938,United Arab Emirates,Serbia,Northern Africa and Western Asia,Europe,34.03960825
3939,"China, Hong Kong SAR",Morocco,China,Northern Africa and Western Asia,34.0077404
3940,Brazil,Nigeria,Latin America and the Caribbean,Sub-Saharan Africa,33.985
3941,"China, Hong Kong SAR",Venezuela,China,Latin America and the Caribbean,33.958612
3942,Turkey,Guinea,Northern Africa and Western Asia,Sub-Saharan Africa,33.9512887
3943,Japan,Costa Rica,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,33.87396951
3944,Trinidad and Tobago,Saint Kitts and Nevis,Latin America and the Caribbean,Latin America and the Caribbean,33.86258561
3945,Poland,Sri Lanka,Europe,Central and Southern Asia,33.8001241976
3946,France,Qatar,Europe,Northern Africa and Western Asia,33.7713723495
3947,Poland,Maldives,Europe,Central and Southern Asia,33.762986345
3948,Ukraine,United Kingdom,Europe,Europe,33.66735781
3949,Dominican Republic,United States,Latin America and the Caribbean,Northern America,33.623407
3950,Slovakia,Italy,Europe,Europe,33.495697135
3951,Bhutan,India,Central and Southern Asia,Central and Southern Asia,33.445
3952,United Kingdom,Georgia,Europe,Northern Africa and Western Asia,33.37352691
3953,Uzbekistan,Russian Federation,Central and Southern Asia,Europe,33.3640995
3954,United Arab Emirates,Liberia,Northern Africa and Western Asia,Sub-Saharan Africa,33.35049
3955,Finland,Netherlands,Europe,Europe,33.315639831
3956,Italy,Serbia,Europe,Europe,33.282417990999996
3957,Malawi,Israel,Sub-Saharan Africa,Northern Africa and Western Asia,33.28
3958,Rwanda,Indonesia,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),33.26748
3959,Germany,Bahamas,Europe,Latin America and the Caribbean,33.2672559
3960,United Arab Emirates,Italy,Northern Africa and Western Asia,Europe,33.26226698
3961,Paraguay,Australia,Latin America and the Caribbean,Australia and New Zealand,33.1926382
3962,Greece,Panama,Europe,Latin America and the Caribbean,33.188
3963,Netherlands,Sierra Leone,Europe,Sub-Saharan Africa,33.185044680000004
3964,Spain,Gabon,Europe,Sub-Saharan Africa,33.18
3965,Philippines,Saudi Arabia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,33.163
3966,Papua New Guinea,Czech Republic,Oceania (excl. Australia and New Zealand),Europe,33.122
3967,South Africa,Mali,Sub-Saharan Africa,Sub-Saharan Africa,33.121
3968,Saudi Arabia,Cote d'Ivoire,Northern Africa and Western Asia,Sub-Saharan Africa,33.074
3969,"Korea, Republic",Saudi Arabia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,33.03146929
3970,Iran,Bahrain,Central and Southern Asia,Northern Africa and Western Asia,33.025511543
3971,Uganda,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa,33.0
3972,Germany,Cote d'Ivoire,Europe,Sub-Saharan Africa,32.961894244
3973,Singapore,Egypt,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,32.929229878
3974,Indonesia,Rwanda,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,32.928
3975,Morocco,Ireland,Northern Africa and Western Asia,Europe,32.880394591
3976,India,Andorra,Central and Southern Asia,Europe,32.86997054
3977,"China, Hong Kong SAR",Saudi Arabia,China,Northern Africa and Western Asia,32.848
3978,Peru,France,Latin America and the Caribbean,Europe,32.833466994
3979,Rwanda,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa,32.812
3980,Costa Rica,Honduras,Latin America and the Caribbean,Latin America and the Caribbean,32.804470364
3981,Malawi,Italy,Sub-Saharan Africa,Europe,32.722572
3982,Lebanon,Gambia,Northern Africa and Western Asia,Sub-Saharan Africa,32.71565556
3983,Thailand,Suriname,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,32.6726
3984,Spain,Philippines,Europe,Eastern and South-Eastern Asia (excl. China),32.65186917
3985,Vietnam,Papua New Guinea,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),32.6
3986,United Arab Emirates,Brunei Darussalam,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),32.5878
3987,Italy,Colombia,Europe,Latin America and the Caribbean,32.57790675
3988,India,Central African Republic,Central and Southern Asia,Sub-Saharan Africa,32.5
3989,Belgium,Niger,Europe,Sub-Saharan Africa,32.483268861
3990,Netherlands,Thailand,Europe,Eastern and South-Eastern Asia (excl. China),32.41464967
3991,Panama,United States,Latin America and the Caribbean,Northern America,32.372073
3992,Indonesia,Bulgaria,Eastern and South-Eastern Asia (excl. China),Europe,32.3452109
3993,Sudan,Kenya,Northern Africa and Western Asia,Sub-Saharan Africa,32.326
3994,Sri Lanka,Marshall Islands,Central and Southern Asia,Oceania (excl. Australia and New Zealand),32.275
3995,Canada,Saudi Arabia,Northern America,Northern Africa and Western Asia,32.23412556
3996,Czech Republic,United States,Europe,Northern America,32.20966558
3997,Chile,Saint Vincent and the Grenadines,Latin America and the Caribbean,Latin America and the Caribbean,32.176004
3998,Belgium,Sri Lanka,Europe,Central and Southern Asia,32.15348022
3999,Bosnia Herzegovina,Canada,Europe,Northern America,32.102932623
4000,Iran,Togo,Central and Southern Asia,Sub-Saharan Africa,32.1
4001,India,Paraguay,Central and Southern Asia,Latin America and the Caribbean,32.051
4002,Russian Federation,Saudi Arabia,Europe,Northern Africa and Western Asia,32.046601
4003,Singapore,Burkina Faso,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,32.012
4004,Rwanda,Kyrgyzstan,Sub-Saharan Africa,Central and Southern Asia,32.001876
4005,Vietnam,Portugal,Eastern and South-Eastern Asia (excl. China),Europe,31.957
4006,United Arab Emirates,Eritrea,Northern Africa and Western Asia,Sub-Saharan Africa,31.9417
4007,Japan,Lao PDR,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),31.873744
4008,South Africa,Kazakhstan,Sub-Saharan Africa,Central and Southern Asia,31.811359999999997
4009,Colombia,Netherlands,Latin America and the Caribbean,Europe,31.780514
4010,Ukraine,Latvia,Europe,Europe,31.725078275
4011,Syria,Qatar,Northern Africa and Western Asia,Northern Africa and Western Asia,31.661
4012,Australia,Russian Federation,Australia and New Zealand,Europe,31.62801384
4013,Belgium,Oman,Europe,Northern Africa and Western Asia,31.564394819999997
4014,New Zealand,Germany,Australia and New Zealand,Europe,31.527836391
4015,Fiji,New Caledonia,Oceania (excl. Australia and New Zealand),Oceania (excl. Australia and New Zealand),31.52465804
4016,Albania,Greece,Europe,Europe,31.508
4017,Jordan,Australia,Northern Africa and Western Asia,Australia and New Zealand,31.4676541
4018,Poland,Jamaica,Europe,Latin America and the Caribbean,31.44516857
4019,Switzerland,Malaysia,Europe,Eastern and South-Eastern Asia (excl. China),31.389362000000002
4020,Ukraine,Israel,Europe,Northern Africa and Western Asia,31.382809939999998
4021,Switzerland,Burkina Faso,Europe,Sub-Saharan Africa,31.381
4022,Netherlands,Kenya,Europe,Sub-Saharan Africa,31.343557935
4023,Latvia,Belarus,Europe,Europe,31.30804379
4024,Switzerland,Saudi Arabia,Europe,Northern Africa and Western Asia,31.2981657
4025,Turkey,Niger,Northern Africa and Western Asia,Sub-Saharan Africa,31.2660344
4026,Ireland,Netherlands,Europe,Europe,31.24892466
4027,Malaysia,Fiji,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),31.2464426
4028,Netherlands,Algeria,Europe,Northern Africa and Western Asia,31.23832
4029,Cambodia,United Arab Emirates,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,31.233999999999998
4030,"China, Hong Kong SAR",Ghana,China,Sub-Saharan Africa,31.227538
4031,Czech Republic,Ireland,Europe,Europe,31.209622132
4032,Lebanon,"Congo, Democratic Republic",Northern Africa and Western Asia,Sub-Saharan Africa,31.175
4033,United Kingdom,Mauritius,Europe,Sub-Saharan Africa,31.142795438
4034,Malaysia,Mexico,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,31.128999999999998
4035,Thailand,Kuwait,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,31.100159428
4036,Netherlands,Senegal,Europe,Sub-Saharan Africa,31.0195589
4037,"China, Hong Kong SAR",Cote d'Ivoire,China,Sub-Saharan Africa,30.993839
4038,Cote d'Ivoire,Gabon,Sub-Saharan Africa,Sub-Saharan Africa,30.93667315
4039,Mongolia,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,30.9322
4040,Greece,Finland,Europe,Europe,30.921
4041,Netherlands,Indonesia,Europe,Eastern and South-Eastern Asia (excl. China),30.856603847
4042,Zambia,Tanzania,Sub-Saharan Africa,Sub-Saharan Africa,30.820999999999998
4043,New Zealand,New Caledonia,Australia and New Zealand,Oceania (excl. Australia and New Zealand),30.804934442
4044,Zimbabwe,"Congo, Republic",Sub-Saharan Africa,Sub-Saharan Africa,30.65
4045,Spain,Finland,Europe,Europe,30.6463540565
4046,Barbados,Trinidad and Tobago,Latin America and the Caribbean,Latin America and the Caribbean,30.612000000000002
4047,Suriname,Myanmar,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),30.59302
4048,Hungary,France,Europe,Europe,30.58836223
4049,France,India,Europe,Central and Southern Asia,30.5775432846
4050,Denmark,"China, Hong Kong SAR",Europe,China,30.537
4051,Australia,Pakistan,Australia and New Zealand,Central and Southern Asia,30.530877689999997
4052,Chile,Turkey,Latin America and the Caribbean,Northern Africa and Western Asia,30.5
4053,Thailand,Belgium,Eastern and South-Eastern Asia (excl. China),Europe,30.496573079
4054,Spain,Cyprus,Europe,Northern Africa and Western Asia,30.481360657
4055,Mali,Pakistan,Sub-Saharan Africa,Central and Southern Asia,30.452
4056,Guatemala,Bahrain,Latin America and the Caribbean,Northern Africa and Western Asia,30.4
4057,Lebanon,Saudi Arabia,Northern Africa and Western Asia,Northern Africa and Western Asia,30.3083
4058,United Kingdom,New Caledonia,Europe,Oceania (excl. Australia and New Zealand),30.30535075
4059,Egypt,Ukraine,Northern Africa and Western Asia,Europe,30.287163999999997
4060,Romania,Czech Republic,Europe,Europe,30.2550469757
4061,Singapore,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,30.23783016
4062,"Korea, Republic",Austria,Eastern and South-Eastern Asia (excl. China),Europe,30.23757404
4063,Nigeria,Benin,Sub-Saharan Africa,Sub-Saharan Africa,30.188965500000002
4064,Cameroon,Niger,Sub-Saharan Africa,Sub-Saharan Africa,30.18
4065,Poland,Niger,Europe,Sub-Saharan Africa,30.17346677
4066,Canada,Saint Pierre and Miquelon,Northern America,Northern America,30.163
4067,Uruguay,Germany,Latin America and the Caribbean,Europe,30.146019
4068,Rwanda,Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),30.1317113
4069,Japan,Iraq,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,30.092
4070,India,Somalia,Central and Southern Asia,Sub-Saharan Africa,30.07
4071,Saint Kitts and Nevis,United Kingdom,Latin America and the Caribbean,Europe,30.04
4072,Netherlands,"Congo, Republic",Europe,Sub-Saharan Africa,30.037213
4073,Morocco,Guinea,Northern Africa and Western Asia,Sub-Saharan Africa,30.022351535
4074,Tanzania,Mexico,Sub-Saharan Africa,Latin America and the Caribbean,30.0
4075,Mauritania,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,30.0
4076,Sri Lanka,Saint Lucia,Central and Southern Asia,Latin America and the Caribbean,29.99376016
4077,Pakistan,Algeria,Central and Southern Asia,Northern Africa and Western Asia,29.965999999999998
4078,Colombia,Libya,Latin America and the Caribbean,Northern Africa and Western Asia,29.94
4079,Benin,Pakistan,Sub-Saharan Africa,Central and Southern Asia,29.878
4080,Burundi,United States,Sub-Saharan Africa,Northern America,29.84
4081,Thailand,Fiji,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),29.81233
4082,Papua New Guinea,Belarus,Oceania (excl. Australia and New Zealand),Europe,29.791
4083,Saint Kitts and Nevis,Sri Lanka,Latin America and the Caribbean,Central and Southern Asia,29.740000000000002
4084,Oman,Pakistan,Northern Africa and Western Asia,Central and Southern Asia,29.684000000000005
4085,Liberia,Pakistan,Sub-Saharan Africa,Central and Southern Asia,29.68
4086,Ghana,Benin,Sub-Saharan Africa,Sub-Saharan Africa,29.662999999999997
4087,Belgium,Latvia,Europe,Europe,29.642989321
4088,Bulgaria,Poland,Europe,Europe,29.616550202000003
4089,Indonesia,Argentina,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,29.514
4090,Chile,State of Palestine,Latin America and the Caribbean,Northern Africa and Western Asia,29.472843
4091,Poland,Libya,Europe,Northern Africa and Western Asia,29.443840350000002
4092,United Kingdom,Andorra,Europe,Europe,29.37134601
4093,Egypt,China,Northern Africa and Western Asia,China,29.332397
4094,Australia,Vietnam,Australia and New Zealand,Eastern and South-Eastern Asia (excl. China),29.2705308
4095,Bulgaria,United States,Europe,Northern America,29.22679504
4096,Saudi Arabia,Kazakhstan,Northern Africa and Western Asia,Central and Southern Asia,29.185
4097,Vietnam,Solomon Islands,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),29.1846
4098,Brazil,Singapore,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),29.144542324
4099,Italy,Angola,Europe,Sub-Saharan Africa,29.143914040000002
4100,Zimbabwe,Sri Lanka,Sub-Saharan Africa,Central and Southern Asia,29.14300003
4101,India,Bahamas,Central and Southern Asia,Latin America and the Caribbean,29.136
4102,Germany,Yemen,Europe,Northern Africa and Western Asia,29.135833
4103,United Kingdom,British Virgin Islands,Europe,Latin America and the Caribbean,29.108
4104,Chile,Nicaragua,Latin America and the Caribbean,Latin America and the Caribbean,29.048107921
4105,Latvia,Denmark,Europe,Europe,29.0388574565
4106,Turkey,Malaysia,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),29.021287692999998
4107,Italy,Latvia,Europe,Europe,29.0047350069
4108,Germany,Guyana,Europe,Latin America and the Caribbean,29.0
4109,Indonesia,Peru,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,28.9964443
4110,Japan,Slovenia,Eastern and South-Eastern Asia (excl. China),Europe,28.970487252999998
4111,Belize,Mexico,Latin America and the Caribbean,Latin America and the Caribbean,28.967
4112,Kenya,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,28.9442592
4113,Indonesia,Bahrain,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,28.84826837
4114,Germany,Lebanon,Europe,Northern Africa and Western Asia,28.8275739053
4115,Malaysia,Burkina Faso,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,28.8
4116,Turkey,South Africa,Northern Africa and Western Asia,Sub-Saharan Africa,28.739390598
4117,Austria,Albania,Europe,Europe,28.699817047000003
4118,Lithuania,Netherlands,Europe,Europe,28.66762228
4119,Australia,Oman,Australia and New Zealand,Northern Africa and Western Asia,28.667430430000003
4120,Singapore,Latvia,Eastern and South-Eastern Asia (excl. China),Europe,28.60300437
4121,Thailand,Kenya,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,28.584590000000002
4122,Panama,Honduras,Latin America and the Caribbean,Latin America and the Caribbean,28.574023
4123,Turkey,Pakistan,Northern Africa and Western Asia,Central and Southern Asia,28.546545110000004
4124,Kenya,American Samoa,Sub-Saharan Africa,Oceania (excl. Australia and New Zealand),28.520000000000003
4125,Tanzania,Yemen,Sub-Saharan Africa,Northern Africa and Western Asia,28.481
4126,Ecuador,Germany,Latin America and the Caribbean,Europe,28.440384260000002
4127,China,Solomon Islands,China,Oceania (excl. Australia and New Zealand),28.407927869999998
4128,Nigeria,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,28.402630000000006
4129,Bulgaria,Netherlands,Europe,Europe,28.399334144
4130,Japan,Denmark,Eastern and South-Eastern Asia (excl. China),Europe,28.351512638
4131,Colombia,Mauritania,Latin America and the Caribbean,Sub-Saharan Africa,28.316000000000003
4132,Italy,Pakistan,Europe,Central and Southern Asia,28.315
4133,Turkey,Italy,Northern Africa and Western Asia,Europe,28.288740739999998
4134,Malaysia,Bahrain,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,28.261813
4135,Sweden,India,Europe,Central and Southern Asia,28.209796
4136,Syria,Yemen,Northern Africa and Western Asia,Northern Africa and Western Asia,28.200999999999997
4137,South Africa,Mexico,Sub-Saharan Africa,Latin America and the Caribbean,28.176407
4138,Mongolia,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),28.173371657
4139,Guinea,Canada,Sub-Saharan Africa,Northern America,28.151999999999997
4140,Netherlands,Burkina Faso,Europe,Sub-Saharan Africa,28.140587704999998
4141,India,Dominican Republic,Central and Southern Asia,Latin America and the Caribbean,28.100280053
4142,Afghanistan,Kazakhstan,Central and Southern Asia,Central and Southern Asia,28.1
4143,Egypt,Angola,Northern Africa and Western Asia,Sub-Saharan Africa,28.08
4144,Lebanon,Mozambique,Northern Africa and Western Asia,Sub-Saharan Africa,28.071758304
4145,Israel,Poland,Northern Africa and Western Asia,Europe,28.060834
4146,Bangladesh,Ireland,Central and Southern Asia,Europe,28.052
4147,Kenya,Lao PDR,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),28.04
4148,United Kingdom,Libya,Europe,Northern Africa and Western Asia,28.032867720000002
4149,Mexico,Brazil,Latin America and the Caribbean,Latin America and the Caribbean,28.03
4150,United Arab Emirates,Mozambique,Northern Africa and Western Asia,Sub-Saharan Africa,28.01007277
4151,Kuwait,Syria,Northern Africa and Western Asia,Northern Africa and Western Asia,28.01
4152,Zambia,Pakistan,Sub-Saharan Africa,Central and Southern Asia,28.0
4153,Marshall Islands,Nigeria,Oceania (excl. Australia and New Zealand),Sub-Saharan Africa,28.0
4154,Kenya,Panama,Sub-Saharan Africa,Latin America and the Caribbean,27.994
4155,Italy,Guinea,Europe,Sub-Saharan Africa,27.986
4156,Nigeria,Canada,Sub-Saharan Africa,Northern America,27.983439
4157,Germany,"China, Macao SAR",Europe,China,27.97700145
4158,Somalia,Netherlands,Sub-Saharan Africa,Europe,27.963
4159,United Arab Emirates,Comoros,Northern Africa and Western Asia,Sub-Saharan Africa,27.957434929999998
4160,Malawi,Jordan,Sub-Saharan Africa,Northern Africa and Western Asia,27.866172
4161,Poland,India,Europe,Central and Southern Asia,27.86098977
4162,Philippines,Papua New Guinea,Eastern and South-Eastern Asia (excl. China),Oceania (excl. Australia and New Zealand),27.858561
4163,Cameroon,Gambia,Sub-Saharan Africa,Sub-Saharan Africa,27.84
4164,Vietnam,Norway,Eastern and South-Eastern Asia (excl. China),Europe,27.76287637
4165,Bolivia,Chile,Latin America and the Caribbean,Latin America and the Caribbean,27.728379136
4166,Curacao,Aruba,Latin America and the Caribbean,Latin America and the Caribbean,27.6944
4167,Italy,Philippines,Europe,Eastern and South-Eastern Asia (excl. China),27.69197236
4168,Canada,Dominican Republic,Northern America,Latin America and the Caribbean,27.659803396999997
4169,Russian Federation,"China, Hong Kong SAR",Europe,China,27.6195673
4170,Brazil,Panama,Latin America and the Caribbean,Latin America and the Caribbean,27.61001641
4171,Malawi,Andorra,Sub-Saharan Africa,Europe,27.6
4172,Burundi,Singapore,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),27.6
4173,Singapore,Georgia,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,27.57508
4174,Oman,United Kingdom,Northern Africa and Western Asia,Europe,27.534000000000002
4175,India,Luxembourg,Central and Southern Asia,Europe,27.528337200000003
4176,New Zealand,India,Australia and New Zealand,Central and Southern Asia,27.526000000000003
4177,India,Lao PDR,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China),27.445
4178,Vietnam,Bahamas,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,27.433
4179,Finland,Italy,Europe,Europe,27.413148754799998
4180,Syria,France,Northern Africa and Western Asia,Europe,27.411576
4181,Mexico,Dominican Republic,Latin America and the Caribbean,Latin America and the Caribbean,27.39321223
4182,Croatia,Sweden,Europe,Europe,27.38670998
4183,Brazil,Cabo Verde,Latin America and the Caribbean,Sub-Saharan Africa,27.285552174
4184,Colombia,Jamaica,Latin America and the Caribbean,Latin America and the Caribbean,27.28171
4185,Kuwait,United Kingdom,Northern Africa and Western Asia,Europe,27.208
4186,Belgium,"China, Hong Kong SAR",Europe,China,27.197560173
4187,Brazil,Cote d'Ivoire,Latin America and the Caribbean,Sub-Saharan Africa,27.195
4188,Argentina,Lithuania,Latin America and the Caribbean,Europe,27.16933546
4189,Austria,United Arab Emirates,Europe,Northern Africa and Western Asia,27.12130034
4190,Myanmar,Vietnam,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),27.115162
4191,Italy,Mexico,Europe,Latin America and the Caribbean,27.107532202
4192,Botswana,Zimbabwe,Sub-Saharan Africa,Sub-Saharan Africa,27.090104244499997
4193,United States,Malta,Northern America,Europe,27.081887
4194,Mozambique,Philippines,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),27.022
4195,Mongolia,China,Eastern and South-Eastern Asia (excl. China),China,26.954864
4196,Japan,Kuwait,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,26.94040505
